Fahrzeug-ID,Linie,Abfahrt-Datum,Annahme,Status,angem.Pers,bef.Pers,Einstieg_GTFS,Ausstieg_GTFS,abfahrt_minutes,day,depot,trip_id,einstieg_stop_id,einstieg_stop_sequence,ausstieg_stop_id,ausstieg_stop_sequence,trip_sequence_in_line
144,821,2024-08-22,I_AUS,DU,1,1,Hagenow Land Bahnhof,Lübtheen Am Jessen. Weg,7,thursday,VLP Ludwigslust,959531,364953,1,605423,32,1
133,824,2024-08-22,P_StH,DU,1,1,Zarrentin a Schaals. Bahnhofst,Wittenburg (M) Gewerbegebiet,10,thursday,VLP Hagenow,410831,47525,2,601629,27,1
133,58,2024-08-22,P_NCM,DU,1,1,Dömitz ZOB,Ludwigslust B5,238,thursday,VLP Ludwigslust,786886,567144,3,580758,16,1
133,58,2024-08-22,P_SKr,DU,1,1,Heiddorf Th.-Körner-Str.,Ludwigslust B5,246,thursday,VLP Ludwigslust,786886,427171,5,580758,16,1
138,832,2024-08-22,I_AUS,DU,1,1,Boizenburg Markt,Wittenburg (M) Gewerbegebiet,256,thursday,VLP Boizenburg,1079005,614787,1,594376,54,4
160,822,2024-08-22,I_AUS,DU,1,1,Vellahn Schule,Hagenow Land Bahnhof,262,thursday,VLP Hagenow,1224402,206496,12,364953,41,5
0,54,2024-08-22,P_hkl,A,1,1,Hagenow Lindenallee,Zarrentin a Schaals. Bahnhofst,265,thursday,VLP Hagenow,1542991,519618,2,47525,27,6
123,54,2024-08-22,I_ESM,DU,1,1,Hagenow Lindenallee,Zarrentin a Schaals. Bahnhofst,265,thursday,VLP Hagenow,1542991,519618,2,47525,27,6
0,822,2024-08-22,I_ESM,A,1,1,Hagenow Robert-Stock-Str.,Wittenburg (M) Gewerbegebiet,266,thursday,VLP Hagenow,1258055,592840,2,594376,40,6
139,832,2024-08-22,I_AUS,DU,1,1,Brahlstorf Wendeschleife,Vellahn B5,274,thursday,VLP Boizenburg,765452,223180,18,659357,23,3
0,820,2024-08-22,P_lra,A,1,1,Sudenhof,Kirch Jesar Texas,275,thursday,VLP Hagenow,690558,216889,1,157832,2,6
127,807,2024-08-22,I_AUS,DU,1,1,Ziegendorf b Parchim Schule,Parchim ZOB,297,thursday,VLP Parchim,1253869,296623,8,425691,27,2
139,822,2024-08-22,I_AUS,DU,1,1,Vellahn B5,Hagenow ZOB,300,thursday,VLP Hagenow,471289,528070,13,540455,37,7
0,801,2024-08-22,I_ESM,A,1,1,Lübz ZOB,Vietlübbe (b Lübz),304,thursday,VLP Parchim,1519256,593769,1,120161,28,5
