Searchstring;Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";7QA38VRW;journalArticle;2018;"Machado, Cláudia A. Soares; De Salles Hue, Nicolas Patrick Marie; Berssaneti, Fernando Tobal; Quintanilha, José Alberto";An Overview of Shared Mobility;Sustainability;;2071-1050;10.3390/su10124342;https://www.mdpi.com/2071-1050/10/12/4342;In a wider understanding, shared mobility can be defined as trip alternatives that aim to maximize the utilization of the mobility resources that a society can pragmatically afford, disconnecting their usage from ownership. Then, shared mobility is the short-term access to shared vehicles according to the user’s needs and convenience. The contributions and added value of this paper are to provide an up-to-date and well-structured review on the area of shared mobility to researchers and practitioners of the transport sector. Hence, this paper presents a bibliographical review of shared mobility and its diverse modalities, as an alternative to individual transportation, especially in cases of individual automobiles or short trips restricted to an urban city. The present literature review on shared modes of transportation has discovered that the introduction of these modes alone will not solve transportation problems in large cities, with elevated and growing motorization rates. However, it can among the strategies employed to help alleviate the problems caused by traffic jams and pollution by reducing the number of vehicles in circulation, congestions, and the urban emission of polluting gases. Thus, the implementation of shared mobility schemes offers the potential to enhance the efficiency, competitiveness, social equity, and quality of life in cities. This paper covers the fundamental aspects of vehicle and/or ride sharing in urban centers, and provides an overview of current shared mobility systems.;2018-12;14.08.25 12:15;14.08.25 12:15;14.08.25 12:15;4342;;12;10;;;;;;;;;;en;http://creativecommons.org/licenses/by/3.0/;;;;www.mdpi.com;;Publisher: Multidisciplinary Digital Publishing Institute;;/Users/alexanderklaus/Zotero/storage/REFTN9NQ/Machado et al. - 2018 - An Overview of Shared Mobility.pdf;;;"shared mobility; bikesharing; carsharing; on-demand ride services; personal vehicle sharing; ridesharing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";527NS7K5;journalArticle;2018;"Stiglic, Mitja; Agatz, Niels; Savelsbergh, Martin; Gradisar, Mirko";Enhancing urban mobility: Integrating ride-sharing and public transit;Computers & Operations Research;;3050548;10.1016/j.cor.2017.08.016;https://linkinghub.elsevier.com/retrieve/pii/S0305054817302228;Seamless integration of ride-sharing and public transit may offer fast, reliable, and affordable transfer to and from transit stations in suburban areas thereby enhancing mobility of residents. We investigate the potential beneﬁts of such a system, as well as the ride-matching technology required to support it, by means of an extensive computational study. Our study shows that the integration of a ride-sharing system and a public transit system can signiﬁcantly enhance mobility and increase the use of public transport.;2018-02;14.08.25 12:17;14.08.25 12:17;14.08.25 12:17;Dez 21;;;90;;Computers & Operations Research;Enhancing urban mobility;;;;;;;en;;;;;DOI.org (Crossref);;;;/Users/alexanderklaus/Zotero/storage/8MRV9HZC/Stiglic et al. - 2018 - Enhancing urban mobility Integrating ride-sharing and public transit.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";VYTP7EYM;journalArticle;2017;"Alonso-Mora, Javier; Samaranayake, Samitha; Wallar, Alex; Frazzoli, Emilio; Rus, Daniela";On-demand high-capacity ride-sharing via dynamic trip-vehicle assignment;Proceedings of the National Academy of Sciences;;0027-8424, 1091-6490;10.1073/pnas.1611675114;https://pnas.org/doi/full/10.1073/pnas.1611675114;Significance             Ride-sharing services can provide not only a very personalized mobility experience but also ensure efficiency and sustainability via large-scale ride pooling. Large-scale ride-sharing requires mathematical models and algorithms that can match large groups of riders to a fleet of shared vehicles in real time, a task not fully addressed by current solutions. We present a highly scalable anytime optimal algorithm and experimentally validate its performance using New York City taxi data and a shared vehicle fleet with passenger capacities of up to ten. Our results show that 2,000 vehicles (15% of the taxi fleet) of capacity 10 or 3,000 of capacity 4 can serve 98% of the demand within a mean waiting time of 2.8 min and mean trip delay of 3.5 min.           ,                             Ride-sharing services are transforming urban mobility by providing timely and convenient transportation to anybody, anywhere, and anytime. These services present enormous potential for positive societal impacts with respect to pollution, energy consumption, congestion, etc. Current mathematical models, however, do not fully address the potential of ride-sharing. Recently, a large-scale study highlighted some of the benefits of car pooling but was limited to static routes with two riders per vehicle (optimally) or three (with heuristics). We present a more general mathematical model for real-time high-capacity ride-sharing that (               i               ) scales to large numbers of passengers and trips and (               ii               ) dynamically generates optimal routes with respect to online demand and vehicle locations. The algorithm starts from a greedy assignment and improves it through a constrained optimization, quickly returning solutions of good quality and converging to the optimal assignment over time. We quantify experimentally the tradeoff between fleet size, capacity, waiting time, travel delay, and operational costs for low- to medium-capacity vehicles, such as taxis and van shuttles. The algorithm is validated with ∼3 million rides extracted from the New York City taxicab public dataset. Our experimental study considers ride-sharing with rider capacity of up to 10 simultaneous passengers per vehicle. The algorithm applies to fleets of autonomous vehicles and also incorporates rebalancing of idling vehicles to areas of high demand. This framework is general and can be used for many real-time multivehicle, multitask assignment problems.;17.01.17;14.08.25 12:35;14.08.25 12:35;14.08.25 12:35;462-467;;3;114;;Proc. Natl. Acad. Sci. U.S.A.;;;;;;;;en;;;;;DOI.org (Crossref);;;;/Users/alexanderklaus/Zotero/storage/MUV3FHD7/Alonso-Mora et al. - 2017 - On-demand high-capacity ride-sharing via dynamic trip-vehicle assignment.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";67EGSVJM;journalArticle;2018;"Fagnant, Daniel J.; Kockelman, Kara M.";Dynamic ride-sharing and fleet sizing for a system of shared autonomous vehicles in Austin, Texas;Transportation;;1572-9435;10.1007/s11116-016-9729-z;https://doi.org/10.1007/s11116-016-9729-z;Shared autonomous (fully-automated) vehicles (SAVs) represent an emerging transportation mode for driverless and on-demand transport. Early actors include Google and Europe’s CityMobil2, who seek pilot deployments in low-speed settings. This work investigates SAVs’ potential for U.S. urban areas via multiple applications across the Austin, Texas, network. This work describes advances to existing agent- and network-based SAV simulations by enabling dynamic ride-sharing (DRS, which pools multiple travelers with similar origins, destinations and departure times in the same vehicle), optimizing fleet sizing, and anticipating profitability for operators in settings with no speed limitations on the vehicles and at adoption levels below 10 % of all personal trip-making in the region. Results suggest that DRS reduces average service times (wait times plus in-vehicle travel times) and travel costs for SAV users, even after accounting for extra passenger pick-ups, drop-offs and non-direct routings. While the base-case scenario (serving 56,324 person-trips per day, on average) suggest that a fleet of SAVs allowing for DRS may result in vehicle-miles traveled (VMT) that exceed person-trip miles demanded (due to anticipatory relocations of empty vehicles, between trip calls), it is possible to reduce overall VMT as trip-making intensity (SAV membership) rises and/or DRS users become more flexible in their trip timing and routing. Indeed, DRS appears critical to avoiding new congestion problems, since VMT may increase by over 8 % without any ride-sharing. Finally, these simulation results suggest that a private fleet operator paying $70,000 per new SAV could earn a 19 % annual (long-term) return on investment while offering SAV services at $1.00 per mile for a non-shared trip (which is less than a third of Austin’s average taxi cab fare).;01.01.18;14.08.25 12:37;14.08.25 12:37;14.08.25 12:37;143-158;;1;45;;Transportation;;;;;;;;en;;;;;Springer Link;;;;/Users/alexanderklaus/Zotero/storage/23KWS9WU/Fagnant und Kockelman - 2018 - Dynamic ride-sharing and fleet sizing for a system of shared autonomous vehicles in Austin, Texas.pdf;;;"Connected and autonomous vehicles; Dynamic ride-sharing; MATSim simulation; Shared autonomous vehicles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";7E74FV5R;journalArticle;2011;"Agatz, Niels A.H.; Erera, Alan L.; Savelsbergh, Martin W.P.; Wang, Xing";Dynamic ride-sharing: A simulation study in metro Atlanta;Transportation Research Part B: Methodological;;1912615;10.1016/j.trb.2011.05.017;https://linkinghub.elsevier.com/retrieve/pii/S0191261511000671;Smartphone technology enables dynamic ride-sharing systems that bring together people with similar itineraries and time schedules to share rides on short-notice. This paper considers the problem of matching drivers and riders in this dynamic setting. We develop optimization-based approaches that aim at minimizing the total system-wide vehicle miles incurred by system users, and their individual travel costs. To assess the merits of our methods we present a simulation study based on 2008 travel demand data from metropolitan Atlanta. The simulation results indicate that the use of sophisticated optimization methods instead of simple greedy matching rules substantially improve the performance of ride-sharing systems. Furthermore, even with relatively low participation rates, it appears that sustainable populations of dynamic ride-sharing participants may be possible even in relatively sprawling urban areas with many employment centers.;2011-11;14.08.25 12:59;14.08.25 12:59;14.08.25 12:59;1450-1464;;9;45;;Transportation Research Part B: Methodological;Dynamic ride-sharing;;;;;;;en;https://www.elsevier.com/tdm/userlicense/1.0/;;;;DOI.org (Crossref);;;;/Users/alexanderklaus/Zotero/storage/8UNENEET/Agatz et al. - 2011 - Dynamic ride-sharing A simulation study in metro Atlanta.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";KWZJNVXH;journalArticle;2016;"Jung, Jaeyoung; Jayakrishnan, R.; Park, Ji Young";Dynamic Shared-Taxi Dispatch Algorithm with Hybrid-Simulated Annealing;Computer-Aided Civil and Infrastructure Engineering;;1467-8667;10.1111/mice.12157;https://onlinelibrary.wiley.com/doi/abs/10.1111/mice.12157;Taxi is certainly the most popular type of on-demand transportation service in urban areas because taxi-dispatching systems offer more and better services in terms of shorter wait times and passenger travel convenience. However, a shortage of taxicabs has always been critical in many urban contexts especially during peak hours, and taxi has great potential to maximize its efficiency by employing the shared-ride concept. There are recent successes in dynamic ride-sharing projects that are expected to bring substantial benefits arising from energy consumption and operation efficiency and thus, it is essential to develop advanced shared-taxi-dispatch algorithms and investigate the collective benefits of dynamic ride-sharing by maximizing occupancy and minimizing travel times in real-time. This article investigates how taxi services can be improved by proposing shared-taxi algorithms and what type of objective functions and constraints could be employed to prevent excessive passenger detours. Hybrid-simulated annealing (HSA) is applied to dynamically assign passenger requests efficiently. A series of simulations are conducted with two different taxi operation strategies. The simulation results reveal that allowing ride-sharing for taxicabs increases productivity over the various demand levels and HSA can be considered as a suitable solution to maximize the system efficiency of dynamic ride-sharing.;2016;14.08.25 13:01;14.08.25 13:01;14.08.25 13:01;275-291;;4;31;;;;;;;;;;en;© 2015 Computer-Aided Civil and Infrastructure Engineering;;;;Wiley Online Library;;_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/mice.12157;;/Users/alexanderklaus/Zotero/storage/GLP69C56/Jung et al. - 2016 - Dynamic Shared-Taxi Dispatch Algorithm with Hybrid-Simulated Annealing.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";8RFBFMBM;journalArticle;2018;"Wen, Jian; Chen, Yu Xin; Nassir, Neema; Zhao, Jinhua";Transit-oriented autonomous vehicle operation with integrated demand-supply interaction;Transportation Research Part C: Emerging Technologies;;0968090X;10.1016/j.trc.2018.10.018;https://linkinghub.elsevier.com/retrieve/pii/S0968090X18300378;"Autonomous vehicles (AVs) represent potentially disruptive and innovative changes to public transportation (PT) systems. However, the exact interplay between AV and PT is understudied in existing research. This paper proposes a systematic approach to the design, simulation, and evaluation of integrated autonomous vehicle and public transportation (AV + PT) systems. Two features distinguish this research from the state of the art in the literature: the first is the transitoriented AV operation with the purpose of supporting existing PT modes; the second is the explicit modeling of the interaction between demand and supply.";2018-12;14.08.25 13:36;14.08.25 13:36;14.08.25 13:36;216-234;;;97;;Transportation Research Part C: Emerging Technologies;;;;;;;;en;;;;;DOI.org (Crossref);;;;/Users/alexanderklaus/Zotero/storage/IPMPZDTW/Wen et al. - 2018 - Transit-oriented autonomous vehicle operation with integrated demand-supply interaction.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";WT2CK8IY;journalArticle;2019;"Vosooghi, Reza; Puchinger, Jakob; Jankovic, Marija; Vouillon, Anthony";Shared autonomous vehicle simulation and service design;Transportation Research Part C: Emerging Technologies;;0968090X;10.1016/j.trc.2019.08.006;https://linkinghub.elsevier.com/retrieve/pii/S0968090X19304449;Today, driverless cars, as a new technology that allows a more accessible, dynamic and intelligent form of Shared Mobility, are expected to revolutionize urban transportation. One of the conceivable mobility services based on driverless cars is shared autonomous vehicles (SAVs). This service could merge cabs, carsharing, and ridesharing systems into a singular transportation mode. However, the success and competitiveness of future SAV services depend on their operational models, which are linked intrinsically to the service configuration and fleet specification. In addition, any change in operational models will result in a different demand. Using a comprehensive framework of SAV simulation in a multimodal dynamic demand system with integrated SAV user taste variation, this study evaluates the performance of various SAV fleets and vehicle capacities serving travelers across the Rouen Normandie metropolitan area in France. Also, the impact of ridesharing and rebalancing strategies on service performance is investigated. Research results suggest that the performance of SAV is strongly correlated with the fleet size and the strategy of individual or shared rides. Further analysis indicates that for the pricing scheme proposed in this study (i.e., 20% lower for ridesharing scenario), the standard 4-seats car with shared ride remains the best option among all scenarios. The results also underline that enabling vehicle-rebalancing strategies may have an important effect on both user and servicerelated metrics. The estimated SAV average and maximum driven distance prove the importance of vehicle range and charging station deployment.;2019-10;14.08.25 13:38;14.08.25 13:38;14.08.25 13:38;15-33;;;107;;Transportation Research Part C: Emerging Technologies;;;;;;;;en;;;;;DOI.org (Crossref);;;;/Users/alexanderklaus/Zotero/storage/EXTGC48B/Vosooghi et al. - 2019 - Shared autonomous vehicle simulation and service design.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";JTQSQQ3M;conferencePaper;2018;"Wallar, Alex; Van Der Zee, Menno; Alonso-Mora, Javier; Rus, Daniela";Vehicle Rebalancing for Mobility-on-Demand Systems with Ride-Sharing;2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS);;;10.1109/IROS.2018.8593743;https://ieeexplore.ieee.org/document/8593743/;Recent developments in Mobility-on-Demand (MoD) systems have demonstrated the potential of road vehicles as an efficient mode of urban transportation Newly developed algorithms can compute vehicle routes in real-time for batches of requests and allow for multiple requests to share vehicles. These algorithms have primarily focused on optimally producing vehicle schedules to pick up and drop off requests. The redistribution of idle vehicles to areas of high demand, known as rebalancing, on the contrary has received little attention in the context of ride-sharing. In this paper, we present a method to rebalance idle vehicles in a ride-sharing enabled MoD fleet. This method consists of an algorithm to optimally partition the fleet operating area into rebalancing regions, an algorithm to determine a real-time demand estimate for every region using incoming requests, and an algorithm to optimize the assignment of idle vehicles to these rebalancing regions using an integer linear program. Evaluation with historical taxi data from Manhattan shows that we can service 99.8% of taxi requests in Manhattan using 3000 vehicles with an average waiting time of 57.4 seconds and an average in-car delay of 13.7 seconds. Moreover, we can achieve a higher service rate using 2000 vehicles than prior work achieved with 3000. Furthermore, with a fleet of 3000 vehicles, we reduce the average travel delay by 86%, the average waiting time by 37%, and the amount of ignored requests by 95% compared to earlier work at the expense of an increased distance travelled by the fleet.;2018-10;14.08.25 13:53;14.08.25 13:53;14.08.25 13:53;4539-4546;;;;;;;;;;;;;;;;;;IEEE Xplore;;ISSN: 2153-0866;;/Users/alexanderklaus/Zotero/storage/FW3QBJKA/Wallar et al. - 2018 - Vehicle Rebalancing for Mobility-on-Demand Systems with Ride-Sharing.pdf;;;"Public transportation; Schedules; Automobiles; Real-time systems; Delays; Partitioning algorithms";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS);;;;;;;;;;;;;;;
"TITLE-ABS-KEY(( ""ridepooling"" OR ""ride pooling"" OR ""shared ride"" OR ""collective ride"" OR ""ride-sharing"" OR ""ride sharing"" OR ""ride-splitting"" OR ""ride splitting"" ) AND ( ""urban"" OR ""high-demand"" OR ""high demand"" ) AND ( ""area"" OR ""mobility"" OR ""transport"" ))";KLB2ZQVD;journalArticle;2021;"Alonso-González, María J.; Cats, Oded; van Oort, Niels; Hoogendoorn-Lanser, Sascha; Hoogendoorn, Serge";What are the determinants of the willingness to share rides in pooled on-demand services?;Transportation;;1572-9435;10.1007/s11116-020-10110-2;https://doi.org/10.1007/s11116-020-10110-2;Simulation studies suggest that pooled on-demand services (also referred to as Demand Responsive Transport, ridesharing, shared ride-hailing or shared ridesourcing services) have the potential to bring large benefits to urban areas while inducing limited time losses for their users. However, in reality, the large majority of users request individual rides (and not pooled rides) in existing on-demand services, leading to increases in motorised vehicle miles travelled. In this study, we investigate to what extent fare discounts, additional travel time, and the (un)willingness to share the ride with (different numbers of) other passengers play a role in the decision of individuals to share rides. To this end, we design a stated preference study targeting Dutch urban individuals. In our research, we (1) disentangle the sharing aspect from related time–cost trade-offs (e.g. detours), (2) investigate preference heterogeneity regarding the studied attributes and identify distinct market segments, and (3) simulate scenarios to understand the impact of the obtained parameters in the breakdown between individual and pooled services. We find that less than one third of respondents have strong preferences against sharing their rides. Also, we find that different market segments vary not only in their values of the willingness to share, but also in how they perceive this willingness to share (per-ride or proportional to the in-vehicle time). Further, the scenario analysis demonstrates that the share of individuals who are willing to share rides depends primarily on the time–cost trade-offs, rather than on the disutility stemming from pooling rides per se.;01.08.21;14.08.25 14:08;14.08.25 14:08;14.08.25 14:08;1733-1765;;4;48;;Transportation;;;;;;;;en;;;;;Springer Link;;;;/Users/alexanderklaus/Zotero/storage/PUXRGGR3/Alonso-González et al. - 2021 - What are the determinants of the willingness to share rides in pooled on-demand services.pdf;;;"Ridesharing; Choice modelling; Stated preference; DRT; Scenario analysis; Willingness to share";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
