"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JUG7ZQJH","journalArticle","2012","Nourbakhsh, Seyed Mohammad; Ouyang, Yanfeng","A structured flexible transit system for low demand areas","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2011.07.014","https://linkinghub.elsevier.com/retrieve/pii/S0191261511001147","Public transit structure is traditionally designed to contain ﬁxed bus routes and predetermined bus stations. This paper presents an alternative ﬂexible-route transit system, in which each bus is allowed to travel across a predetermined area to serve passengers, while these bus service areas collectively form a hybrid ‘‘grand’’ structure that resembles huband-spoke and grid networks. We analyze the agency and user cost components of this proposed system in idealized square cities and seek the optimum network layout, service area of each bus, and bus headway, to minimize the total system cost. We compare the performance of the proposed transit system with those of comparable systems (e.g., ﬁxedroute transit network and taxi service), and show how each system is advantageous under certain passenger demand levels. It is found out that under low-to-moderate demand levels, the proposed ﬂexible-route system tends to have the lowest system cost.","2012-01","2025-08-07 10:47:35","2025-08-07 10:47:35","2025-08-07 10:47:35","204-216","","1","46","","Transportation Research Part B: Methodological","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/KC7JUWII/Nourbakhsh und Ouyang - 2012 - A structured flexible transit system for low demand areas.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KHFTGSM","journalArticle","2016","Bakas, Ioannis; Drakoulis, Richardos; Floudas, Nikolaos; Lytrivis, Panagiotis; Amditis, Angelos","A Flexible Transportation Service for the Optimization of a Fixed-route Public Transport Network","Transportation Research Procedia","","23521465","10.1016/j.trpro.2016.05.134","https://linkinghub.elsevier.com/retrieve/pii/S2352146516301351","In this paper, a flexible transportation service is proposed for a medium-sized city. By reviewing the literature of demand services, an algorithm solving the static multi-vehicle dial-a-ride problem with time windows and a fixed fleet of vehicles is developed and evaluated. Our contribution focuses on customers who specify their origin time from strategically chosen bus stations of the fixed infrastructure. A flexible objective function is used to reflect the customer’s quality of service and also the operator’s cost. Finally, simulated datasets of up to 500 user’s requests are tested and compared against the public transport service of the city giving insight of how well a demand service performs.","2016","2025-08-07 12:03:43","2025-08-07 12:03:43","2025-08-07 12:03:43","1689-1698","","","14","","Transportation Research Procedia","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/G7IFB8V6/Bakas et al. - 2016 - A Flexible Transportation Service for the Optimization of a Fixed-route Public Transport Network.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DAZYIXC","journalArticle","2019","Pei, Mingyang; Lin, Peiqun; Ou, Junfeng","Real-Time Optimal Scheduling Model for Transit System with Flexible Bus Line Length","Transportation Research Record","","0361-1981","10.1177/0361198119837502","https://doi.org/10.1177/0361198119837502","We propose a new structured transit system with flexible bus line length based on the real-time requests of passengers. This operation mode can meet the travel demands of passengers (lower travel-time cost) and reduce the number of unnecessary stops (without boarding or alighting activities). We then compare the performance of the proposed transit system with that of fixed-route transit service and show the pros and cons of each system for several passenger demand levels. It is found that at low-to-moderate demand levels, the proposed flexible-route system tends to provide the lowest total travel time. In comparing a real-world deployment of the system in Guangzhou with comparable alternative system states, the optimization of the former is evident in idle and tidal modes, in which the total travel times reduced by more than 10%. Moreover, this operating system can achieve enhanced performance with the development of automated vehicle technology in the future.","2019-04-01","2025-08-07 12:10:30","2025-08-07 12:10:30","2025-08-07 12:10:30","800-810","","4","2673","","","","","","","","","","EN","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/alexanderklaus/Zotero/storage/J77IUCQM/Pei et al. - 2019 - Real-Time Optimal Scheduling Model for Transit System with Flexible Bus Line Length.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAHCGPIZ","journalArticle","2021","Ceder, Avishai (Avi)","Urban mobility and public transport: future perspectives and review","International Journal of Urban Sciences","","1226-5934","10.1080/12265934.2020.1799846","https://doi.org/10.1080/12265934.2020.1799846","The purpose of this work is to review urban transportation likely to be offered in the future. Trip-making behaviour has already changed considerably as lifestyles change and they will continue to change in the future. This work reflects and places emphasis on profound thinking about the possibilities, rather than predicting them. Thoughts about possibilities for the future draw upon imagination, perceived and justified feasibility, and lessons gained from the past. This work attempts to capture the possibilities, logistics and travel modes of future urban transportation. A visionary, feasibility-related approach grounded in a realist perspective is proposed, only conceptually, to explore plausible visions for the future. In addition, this work shows the inefficiency of using private cars (PCs) and argues that in the development of autonomous and electric vehicles, PCs cannot provide a solution competitive with the potential that urban transportation systems have for the future. Hence, the solutions for the future must be based on public transport (PT) modes of travel, regardless of whether they are metro, bus, light rail, tram, ridesharing services, an ordinary taxi, personal rapid transit, or any other PT-based future mode. The key principal of operation for the mobility of a smart city will be the ability to optimize the connectivity of movement in order to approach a seamless move, while endowing the phrase door-to-door travel with new meaning. Finally, it would be remiss not to mention the unforeseeable implications of the Covid-19 pandemic for future mobility, more controllable by automation of non-privately owned vehicle, and with the prospect of people demonstrating a greater inclination towards changing their habits, behaviour, and thinking paradigms.","2021-10-02","2025-08-07 12:34:15","2025-08-07 12:34:15","2025-08-07 12:34:15","455-479","","4","25","","","Urban mobility and public transport","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/12265934.2020.1799846","","/Users/alexanderklaus/Zotero/storage/CPIJUWIJ/Ceder - 2021 - Urban mobility and public transport future perspectives and review.pdf","","","public transport; Future urban mobility; innovative travel modes; mode shift; private car","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M423CVVC","journalArticle","2009","Chen, Xumei; Yu, Lei; Zhang, Yushi; Guo, Jifu","Analyzing urban bus service reliability at the stop, route, and network levels","Transportation Research Part A: Policy and Practice","","0965-8564","10.1016/j.tra.2009.07.006","https://www.sciencedirect.com/science/article/pii/S0965856409000688","Improving the reliability of bus service has the potential to increase the attractiveness of public transit to current and prospective riders. An understanding of service reliability is necessary to develop strategies that help transit agencies provide better services. However, few studies have been conducted analyzing bus reliability in the metropolis of China. This paper presents an in-depth analysis of service reliability based on bus operational characteristics in Beijing. Three performance parameters, punctuality index based on routes (PIR), deviation index based on stops (DIS), and evenness index based on stops (EIS), are proposed for the evaluation of bus service reliability. Reliability involves routes, stops, punctuality, deviation, and evenness. The relationship among the three parameters is discussed using a numerical example. Subsequently, through a sampling survey of bus lines in Beijing, service reliability at the stop, route, and network levels are estimated. The effects of route length, headway, the distance from the stop to the origin terminal, and the use of exclusive bus lanes are also analyzed. The results indicate low service reliability for buses in Beijing and a high correlation between service reliability and route length, headway, distance from the stop to the origin terminal, and the provision of exclusive bus lanes.","2009-10-01","2025-08-07 12:35:43","2025-08-07 12:35:43","2025-08-07 12:35:43","722-734","","8","43","","Transportation Research Part A: Policy and Practice","","","","","","","","","","","","","ScienceDirect","","","","","","","Public transport; Bus; Evenness; Punctuality; Routes; Service reliability; Stops","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KBVQWQW","journalArticle","2021","Tang, Jinjun; Yang, Yifan; Hao, Wei; Liu, Fang; Wang, Yinhai","A Data-Driven Timetable Optimization of Urban Bus Line Based on Multi-Objective Genetic Algorithm","IEEE Transactions on Intelligent Transportation Systems","","1558-0016","10.1109/TITS.2020.3025031","https://ieeexplore.ieee.org/document/9208784/","Reasonable bus timetable can reduce the operating costs of bus company and improve the quality of bus services. A data-driven method is proposed to optimize bus timetable in this study. Firstly, a bi-objective optimization model is constructed considering minimize the total waiting time of passengers and the departure times of bus company. Then, Global Positioning System (GPS) trajectories of buses and passenger information collected from Smart Card are fused and applied to calculate the key parameters or variables in optimization model, including time-dependent travel time, bus dwell time and passenger volume. Finally, by adopting a specific coding scheme, an improved Non-dominated Sorting Genetic Algorithm-II (NSGA-II) is designed to quickly search Pareto optimal solutions. Furthermore, an experiment is conducted in Beijing city from one bus line to validate the effectiveness of the proposed method. Comparing with empirical scheduling method and traditional single-objective optimization base on GA, the results show that the proposed model could quickly provide high-quality and reasonable timetable schemes for the administrator in urban transit system.","2021-04","2025-08-07 12:39:08","2025-08-07 12:39:08","2025-08-07 12:39:08","2417-2429","","4","22","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/alexanderklaus/Zotero/storage/QQSCRWZF/Tang et al. - 2021 - A Data-Driven Timetable Optimization of Urban Bus Line Based on Multi-Objective Genetic Algorithm.pdf","","","bus timetable; Companies; data-driven method; Encoding; Genetic algorithms; Global Positioning System; multi-objective; non-dominated sorting genetic algorithm-II (NSGA-II); Optimization; Scheduling; Smart cards; Urban transit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJ33R6R5","journalArticle","2025","Kapsky, Denis; Abdurazzokov, Umidulla; Ziyaev, Kamoliddin","Measures to improve operation of passenger transport and urban mobility","AIP Conference Proceedings","","0094-243X","10.1063/5.0266810","https://doi.org/10.1063/5.0266810","The article discusses the types of urban electric transport used in Belarusian cities and gives a detailed classification and comparison of available vehicles. Various options for increasing the share of environmentally friendly transport through electric buses and trolleybuses are considered, and an assessment and a comparative analysis of the options are given. Features of planning the work of drivers, drawing up the schedule, and considering safety requirements are considered.Intensive growth in the level of motorization of the population, an increase in the number of business trips, the use of light vehicles with small volumes of freight, and the emergence of ""commercial"" routes have led in recent years to a sharp increase in car flows in urban transport systems. In this regard, a whole range of tasks arises related to increasing the comfort of movement and the quality of life of citizens in general, which is possible by optimizing the operation of route (urban) passenger transport and increasing its attractiveness for users of all levels. Experimental and computational-theoretical studies were carried out to improve the work of route passenger (urban) transport of cities (in the example of Polotsk and Novopolotsk). Recommendations are given for further improving the operation of urban passenger transport systems according to alternative scenarios for the cities of Polotsk and Novopolotsk. An assessment is made of the possibility of achieving planned indicators for reducing greenhouse gas emissions from implementing the pilot project measures to improve the quality and efficiency of the route passenger transport in these cities. A comparative analysis of the possibility of developing various electric route passenger transport types is carried out. A map has been developed for reducing emissions of pollutants from vehicles with a change in the population’s mobility structure, an increase in the share of use of route passenger transport, and an increase in the speed of movement of route passenger transport.A methodology for assessing the efficiency of urban passenger transport has been developed, including taking into account the development of electric vehicles, which made it possible to determine the need to purchase appropriate vehicles for organizing the movement of non-rail electric vehicles, create a base for their repair and maintenance; construction of traction substations (new or additional); construction of cable networks; train staff. Also, an algorithm has been developed to implement the least costly activities with limited funding at the initial stage. The studies allowed us to formulate a concept and propose specific comprehensive measures to improve the quality and efficiency of the route passenger transport in Polotsk and Novopolotsk, including optimizing the existing route network of route passenger transport.Studies of the effectiveness of measures aimed at reducing delays in route passenger transport have been carried out, and criteria and places of their application in Polotsk and Novopolotsk have been determined, as well as an assessment of the technical and economic indicators of the proposed options using the international CBA methodology (Cost Benefit Analysis).A business model has been developed to implement standard measures to improve the quality and efficiency of the route passenger transport and increase urban passenger transport’s attractiveness and efficiency.","2025-07-15","2025-08-07 13:10:02","2025-08-07 13:10:02","2025-08-07 13:10:02","060021","","1","3256","","AIP Conf. Proc.","","","","","","","","","","","","","Silverchair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5C9B9LBL","preprint","2024","Rashvand, Narges; Hosseini, Sanaz Sadat; Azarbayjani, Mona; Tabkhi, Hamed","Real-Time Bus Arrival Prediction: A Deep Learning Approach for Enhanced Urban Mobility","","","","10.48550/arXiv.2303.15495","http://arxiv.org/abs/2303.15495","In urban settings, bus transit stands as a significant mode of public transportation, yet faces hurdles in delivering accurate and reliable arrival times. This discrepancy often culminates in delays and a decline in ridership, particularly in areas with a heavy reliance on bus transit. A prevalent challenge is the mismatch between actual bus arrival times and their scheduled counterparts, leading to disruptions in fixed schedules. Our study, utilizing New York City bus data, reveals an average delay of approximately eight minutes between scheduled and actual bus arrival times. This research introduces an innovative, AI-based, data-driven methodology for predicting bus arrival times at various transit points (stations), offering a collective prediction for all bus lines within large metropolitan areas. Through the deployment of a fully connected neural network, our method elevates the accuracy and efficiency of public bus transit systems. Our comprehensive evaluation encompasses over 200 bus lines and 2 million data points, showcasing an error margin of under 40 seconds for arrival time estimates. Additionally, the inference time for each data point in the validation set is recorded at below 0.006 ms, demonstrating the potential of our Neural-Net-based approach in substantially enhancing the punctuality and reliability of bus transit systems.","2024-03-04","2025-08-07 13:10:42","2025-08-07 13:10:42","2025-08-07 13:10:42","","","","","","","Real-Time Bus Arrival Prediction","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2303.15495 [cs]","","/Users/alexanderklaus/Zotero/storage/NGFFK8TS/Rashvand et al. - 2024 - Real-Time Bus Arrival Prediction A Deep Learning Approach for Enhanced Urban Mobility.pdf","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2303.15495","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JU92PCZZ","journalArticle","2017","Gal, Avigdor; Mandelbaum, Avishai; Schnitzler, François; Senderovich, Arik; Weidlich, Matthias","Traveling time prediction in scheduled transportation with journey segments","Information Systems","","03064379","10.1016/j.is.2015.12.001","https://linkinghub.elsevier.com/retrieve/pii/S0306437915002112","Urban mobility impacts urban life to a great extent. To enhance urban mobility, much research was invested in traveling time prediction: given an origin and destination, provide a passenger with an accurate estimation of how long a journey lasts. In this work, we investigate a novel combination of methods from Queueing Theory and Machine Learning in the prediction process. We propose a prediction engine that, given a scheduled bus journey (route) and a ‘source/destination’ pair, provides an estimate for the traveling time, while considering both historical data and real-time streams of information that are transmitted by buses. We propose a model that uses natural segmentation of the data according to bus stops and a set of predictors, some use learning while others are learning-free, to compute traveling time. Our empirical evaluation, using bus data that comes from the bus network in the city of Dublin, demonstrates that the snapshot principle, taken from Queueing Theory, works well yet suffers from outliers. To overcome the outliers problem, we use Machine Learning techniques as a regulator that assists in identifying outliers and propose prediction based on historical data.","2017-03","2025-08-07 13:45:16","2025-08-07 13:47:31","2025-08-07 13:45:16","266-280","","","64","","Information Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/IE9BK3HE/Gal et al. - 2017 - Traveling time prediction in scheduled transportation with journey segments.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36QDGI5I","journalArticle","2014","Eboli, Laura; Forciniti, Carmen; Mazzulla, Gabriella","Service Coverage Factors Affecting Bus Transit System Availability","Procedia - Social and Behavioral Sciences","","18770428","10.1016/j.sbspro.2014.01.133","https://linkinghub.elsevier.com/retrieve/pii/S1877042814001347","Over the last few years, transportation policies have aimed to shift transport demand from private car to transit systems. To achieve this objective, supplied transit services must be available to as many users as possible. Access to transit stops is an important factor. This research focuses on defining the service coverage area of a transit service, which is the area within walking distance of a transit stop, using a methodology suggested by the Transportation Research Board. The aim of this research is to calculate service coverage area for a transit system operating in the urban area of an Italian city. The results showed that street connectivity factor, grade factor and population factor have great influence on the determination of service coverage area, whereas pedestrian crossing factor does not impact service coverage area. However, grade factor was calibrated for American cities and does not fit the case of European and Italian cities, which have different topographical characteristics.","2014-02","2025-08-07 13:51:42","2025-08-07 13:51:42","2025-08-07 13:51:42","984-993","","","111","","Procedia - Social and Behavioral Sciences","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/5D8RJ4V3/Eboli et al. - 2014 - Service Coverage Factors Affecting Bus Transit System Availability.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
