"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LUC45XXF","journalArticle","2020","Alonso-González, María J.; Van Oort, Niels; Cats, Oded; Hoogendoorn-Lanser, Sascha; Hoogendoorn, Serge","Value of time and reliability for urban pooled on-demand services","Transportation Research Part C: Emerging Technologies","","0968-090X","10.1016/j.trc.2020.102621","https://linkinghub.elsevier.com/retrieve/pii/S0968090X1931589X","The uptake of on-demand services is increasing rapidly all over the world. However, the market share of their pooled version (ridesharing, e.g., UberPOOL or LyftLine) is still low, despite its potential in addressing the mobility challenges that dense urban cities are facing. In this research, we analyse user preferences towards pooled on-demand services regarding their time-reliabilitycost trade-offs. We study, via stated preference experiments, the value of time (VOT) and value of reliability (VOR) of the different trip stages (waiting stage, in-vehicle stage, and transfer stage when combined with line-based public transport). We target urban Dutch individuals (N = 1006), and address commuting and leisure trips. Results show in-vehicle VOT for pooled on-demand services to amount to 7.88–10.80 €/h. These values are somewhat higher than known values of traditional public transport. We also find waiting VOT (both before the trip and during the transfer stage) to be lower than values previously reported in literature. In general, we find VOR to be lower than VOT: the reliability ratio (VOR/VOT ratio) for both the waiting stage and the in-vehicle stage being around 0.5. In order to understand different preferences, we also estimate latent class choice models. The analysis shows that the main difference between classes pertains to the overall time-cost and reliability-cost trade-offs (VOT and VOR values) rather than in different valuations of the reliability ratio. In addition to serving as input for demand forecasting models such as macroscopic static assignment and agent-based simulation models, our findings can support service providers in developing their strategy when designing pooled ondemand services.","2020-06","2025-08-05 10:39:11","2025-08-05 10:39:11","2025-08-05 10:39:11","102621","","","115","","","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","Crossref","","Publisher: Elsevier BV","","/Users/alexanderklaus/Zotero/storage/R7B5ZGES/Alonso-González et al. - 2020 - Value of time and reliability for urban pooled on-demand services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSH95LDL","journalArticle","2012","Kim, M. Edward; Schonfeld, Paul","Conventional, Flexible, and Variable-Type Bus Services","Journal of Transportation Engineering","","","10.1061/(ASCE)TE.1943-5436.0000326","","To provide efficient public transportation services in areas with high demand variability over time, it may be desirable to switch vehicles between conventional services (with fixed routes and schedules) during peak periods and flexible route services during low-demand periods. This option is called variable-type services. Conventional, flexible, and variable-type service alternatives optimized for various conditions are compared to explore when variable-type bus services might be preferable to purely conventional or flexible service. The optimization models used for purely conventional or flexible service are adapted from previous studies. These models are integrated into a new model for optimizing variable-type bus service. The results of sensitivity analyses show how demand variability over time and other factors affect the relative effectiveness of conventional, flexible, and variable-type bus services. DOI: 10.1061/(ASCE)TE.1943-5436.0000326. (C) 2012 American Society of Civil Engineers.","2012-03-01","2025-08-05 10:47:43","2025-08-05 10:47:43","","1-11","","","138","","Journal of Transportation Engineering","","","","","","","","","","","","","ResearchGate","","","","/Users/alexanderklaus/Zotero/storage/RBALWWE9/Kim und Schonfeld - 2012 - Conventional, Flexible, and Variable-Type Bus Services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y73MCZNC","journalArticle","2020","Liyanage, Sohani; Dia, Hussein","An Agent-Based Simulation Approach for Evaluating the Performance of On-Demand Bus Services","Sustainability","","2071-1050","10.3390/su12104117","https://www.mdpi.com/2071-1050/12/10/4117","On-demand multi-passenger shared transport options are increasingly being promoted as an influential strategy to reduce traffic congestion and emissions and improve the convenience and travel experience for passengers. These services, often referred to as on-demand public transport, are aimed at meeting personal travel demands through the use of shared vehicles that run on flexible routes using advanced tools for dynamic scheduling. This paper presents an agent-based traffic simulation model that was developed to evaluate the performance of on-demand public transport and compare it with existing scheduled bus services using a case study of the inner city of Melbourne in Australia. The key performance measures used in the comparative evaluation included quality of service and passenger experience in terms of waiting times, the efficiency of service and operations in terms of hourly vehicle utilization, and system efficiency in terms of trip completion rates, passenger kilometers travelled and total passenger trip times. The results showed significant benefits for passengers who use on-demand bus services compared to scheduled bus services. The on-demand bus service was found to reduce average total passenger waiting times by 89% during the Morning Peak; by 78% during the Mid-Day period; by 81% during the Afternoon Peak; and by more than 95% during other periods of the day. From an operator’s perspective, the on-demand services were found to achieve around 70% vehicle utilization rates during peak hours compared to a utilization rate not exceeding 16% for the scheduled bus services. Even during off-peak periods, the occupancies for on-demand services were almost twice the vehicle occupancies for scheduled bus services. In terms of system efficiency, the on-demand services achieved a trip completion rate of 85% compared to a trip completion rate of 67% for the scheduled bus services. The total passenger-kilometers travelled was similar for both scheduled and on-demand bus services, which refutes claims that on-demand bus services induce more kilometers of travel. The trip completion times were around 55% shorter for on-demand bus services compared to scheduled services, which represents a significant saving in travel time for users. Finally, the paper presents average emissions per completed trip for both types of services and shows a significant reduction in emissions for on-demand services compared to conventional bus services. These include, on average, a 48% reduction in CO2 emissions per trip; 82% reduction in NO emissions per trip; and 41% reduction in p.m.10 emissions per trip. These findings clearly demonstrate the superior benefits of on-demand bus services compared to scheduled bus services.","2020-01","2025-08-05 11:10:44","2025-08-05 11:10:44","2025-08-05 11:10:44","4117","","10","12","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 10 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/alexanderklaus/Zotero/storage/8ET8F9D8/Liyanage und Dia - 2020 - An Agent-Based Simulation Approach for Evaluating the Performance of On-Demand Bus Services.pdf","","","disruptive mobility; Flexible Mobility on Demand (FMoD); shared mobility; smart urban mobility; sustainable public transport; agent-based modelling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2WR5XII","conferencePaper","2004","Shinoda, Kousuke; Noda, Itsuki; Ohta, Masayuki; Kumada, Yoichiro; Nakashima, Hideyuki","Is Dial-a-Ride Bus Reasonable in Large Scale Towns? Evaluation of Usability of Dial-a-Ride Systems by Simulation","Multi-Agent for Mass User Support","978-3-540-24666-4","","10.1007/978-3-540-24666-4_7","","Dial-a-ride systems are attracting attention as a new style of transportation systems for urban areas. While it has been reported that such systems improve the usability of bus systems when applied in a small town or area, it is not obvious how and under what conditions the systems are effective in comparison to traditional fixed-route bus systems. We conducted two computer simulations of dial-a-ride and fixed-route systems in order to compare the usability and profitability of both systems. Simulation results indicated that: (1) The usability of the dial-a-ride system with a fixed number of buses drops very quickly when the number of requests(demands) increases. (2) When we increase the number of buses proportionally to the number of demand, the usability of the dial-a-ride system is improved more significantly than that of the fixed-route system. (3) When frequency of demands is sufficiently, the dial-a-ride system is a reasonable solution from the both usability and profitability perspectives.","2004","2025-08-05 11:28:52","2025-08-05 11:28:52","","105-119","","","","","","Is Dial-a-Ride Bus Reasonable in Large Scale Towns?","","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/QETN6CBG/Shinoda et al. - 2004 - Is Dial-a-Ride Bus Reasonable in Large Scale Towns Evaluation of Usability of Dial-a-Ride Systems b.pdf","","","Normal Route; Route System; Single Vehicle; Transportation Research Part; Unit Period","Kurumatani, Koichi; Chen, Shu-Heng; Ohuchi, Azuma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLJIZNYR","journalArticle","2021","Tian, Qingyun; Lin, Yun Hui; Wang, David Z. W.","Autonomous and conventional bus fleet optimization for fixed-route operations considering demand uncertainty","Transportation","","1572-9435","10.1007/s11116-020-10146-4","https://doi.org/10.1007/s11116-020-10146-4","The emerging technology of autonomous vehicles has been widely recognized as a promising urban mobility solution in the future. This paper considers the integration of autonomous vehicles into bus transit systems and proposes a modeling framework to determine the optimal bus fleet size and its assignment onto multiple bus lines in a bus service network considering uncertain demand. The mixed-integer stochastic programming approach is applied to formulate the problem. We apply the sample average approximation (SAA) method to solve the formulated stochastic programming problem. To tackle the nonconvexity of the SAA problem, we first present a reformulation method that transforms the problem into a mixed-integer conic quadratic program (MICQP), which can be solved to its global optimal solution by using some existing solution methods. However, this MICQP based approach can only handle the small-size problems. For the cases with large problem size, we apply the approach of quadratic transform with linear alternating algorithm, which allows for efficient solution to large-scale instances with up to thousands of scenarios in a reasonable computational time. Numerical results demonstrate the benefits of introducing autonomous buses as they are flexible to be assigned across different bus service lines, especially when demand uncertainty is more significant. The introduction of autonomous buses would enable further reduction of the required fleets and total cost. The model formulation and solution methods proposed in this study can be used to provide bus transit operators with operational guidance on including autonomous buses into bus services, especially on the autonomous and conventional bus fleets composition and allocation.","2021-10-01","2025-08-07 08:07:58","2025-08-07 08:07:58","2025-08-07 08:07:58","2735-2763","","5","48","","Transportation","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/J46A8JGP/Tian et al. - 2021 - Autonomous and conventional bus fleet optimization for fixed-route operations considering demand unc.pdf","","","Transportation Economics; Autonomous bus service; Conic programming; Continuous Optimization; Demand uncertainty; Discrete Optimization; Operations Research and Decision Theory; Operations Research, Management Science; Quadratic transform; Stochastic programming; Transportation Technology and Traffic Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32QRUQK9","journalArticle","2016","Jiménez, Felipe; Román, Alfonso","Urban bus fleet-to-route assignment for pollutant emissions minimization","Transportation Research Part E: Logistics and Transportation Review","","13665545","10.1016/j.tre.2015.11.003","https://linkinghub.elsevier.com/retrieve/pii/S1366554515002069","This study proposes a methodology to optimize the assignment of an urban bus ﬂeet to a set of ﬁxed routes, taking into account the differences among routes and the differences among vehicle types and propulsion technologies in order to reduce pollutant emissions (CO2, CO, THC, NOx and PM). A Mixed Integer Linear Programming optimization model is stated and two scenarios are assessed: minimization of CO2 and NOx. The results show that it is feasible to obtain a ﬂeet distribution in which emissions for any given pollutant are reduced without increase in emissions of other pollutants.","2016-01","2025-08-07 08:24:56","2025-08-07 08:24:56","2025-08-07 08:24:56","120-131","","","85","","Transportation Research Part E: Logistics and Transportation Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/XI9TBAX5/Jiménez und Román - 2016 - Urban bus fleet-to-route assignment for pollutant emissions minimization.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DG4C2LYY","journalArticle","2023","Jiang, Mengyan; Zhang, Yi; Zhang, Yi","A Branch-and-Price Algorithm for Large-Scale Multidepot Electric Bus Scheduling","IEEE Transactions on Intelligent Transportation Systems","","1558-0016","10.1109/TITS.2022.3165876","https://ieeexplore.ieee.org/document/9768188/","Electric buses (e-buses) are increasingly adopted in the transit systems for their benefits of reduced roadside pollution and better onboard experience. E-bus scheduling is a critical problem in the operation planning stage of transit management to ensure efficient and reliable transit service. In Chinese mega cities, the e-bus networks are operated with many bus routes characterized by high service frequency and long operation time, making the e-bus scheduling a large-scale problem. Besides, the transit agency requires the vehicle-depot constraint to limit the e-bus reposition since it is not cost-efficient. An efficient method to generate optimized schedules that meet the above requirements is desired by the transit agencies. In this paper, we address a large-scale multi-depot electric bus scheduling problem considering the vehicle-depot constraint and partial recharging policy. A mixed integer programming model and an efficient branch-and-price (BP) algorithm are developed to solve the problem. In the BP algorithm, we devise a heuristic method to generate good initial solutions and adopted heuristic decisions in the label setting algorithm to solve the pricing problem. In this way, the efficiency of the BP algorithm is achieved and the large-sized problem instances can be solved. We conduct extensive numerical experiments based on the fixed-route and multi-route operation cases in Shenzhen. The results show that the BP algorithm can generate provable high-quality solutions. Sensitivity analysis indicates that increasing battery capacity and charging rate can reduce the operational cost. The optimal charging schedules can also provide guide in determining the capacity of the charging facilities.","2023-12","2025-08-07 08:28:41","2025-08-07 08:28:41","2025-08-07 08:28:41","15355-15368","","12","24","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/alexanderklaus/Zotero/storage/399WPKD3/Jiang et al. - 2023 - A Branch-and-Price Algorithm for Large-Scale Multidepot Electric Bus Scheduling.pdf","","","Batteries; branch-and-price; Costs; Electric bus; Electric vehicles; Heuristic algorithms; Numerical models; partial recharging; Public transportation; resource-constrained shortest path; Schedules; scheduling; Shortest path problem; Urban areas; Vehicle dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2SLU3C4","report","1989","Leonard, D.R.; Gower, P.; Taylor, N.B.","Contram. Structure of the model","","","","","","CONTRAM is a traffic assignment model developed by the Transport and Road Research Laboratory for use in the design of traffic management schemes in urban areas. Given the traffic demands between origins and destinations for a network it predicts routes of vehicles and flows and queues on links. It is a capacity restrained model which takes account of the interactive effects of traffic between junctions over a network and the variation through time of traffic conditions-in particular it models the build up and decay of congestion such as occurs during peak periods. An iterative procedure is used to assign vehicles to their minimum journey time routes through a network taking into account the delay at each junction along a route at the time that a vehicle reaches each junction. The assignment procedure, which uses a packet structure to represent elements of flow of vehicles for movements between Origins and Destinations, allows multi-routeing for vehicles with freedom of choice of route; fixed route vehicles, such as buses, are sent along their predefined routes, but still encounter the same delays at junctions experienced by other vehicles. The modelling in CONTRAM is consistent with the queue calculations in ARCADY, PICADY and OSCADY.","1989","2025-08-07 08:30:52","2025-08-07 08:30:52","","","","","","","","","","","","Transport & Road Research Laboratory (Great Britain), TRRL Report","","","English","","Report","","","Scopus","","Issue: 178 Journal Abbreviation: Transp Road Res Lab (GB) TRRL Rep Publication Title: Transp Road Res Lab (GB) TRRL Rep","","/Users/alexanderklaus/Zotero/storage/4N9BC8DY/0024872990.html","","","","","","","","","","","","","","","","","","","","","","03721302 (ISSN)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ANXLRIR","journalArticle","2020","Wei, Junjun; Long, Kejun; Gu, Jian; Ju, Qingling; Zhu, Piao","Optimizing Bus Line Based on Metro-Bus Integration","Sustainability","","2071-1050","10.3390/su12041493","https://www.mdpi.com/2071-1050/12/4/1493","Metros are usually built and added on the basis of a completed bus network in Chinese cities. After the metro construction, it is faced with the problem of how to adjust and optimize the original bus lines based on the new metro system. This research mainly proposes a bus line optimization method based on bus and metro integration. In the consideration of the geographical space, the cooperation and competition relationship between bus and metro lines is qualitatively introduced according to the geographical location and service range of metro (800 m radius) and bus (500 m radius) stations. The competition and cooperation indexes are applied to define the co-opetition relationship between bus and metro lines. The bus line optimization model is constructed based on the co-opetition coefficient and Changsha Metro Line Number 2 is chosen as a case study to verify the optimization model. The results show that the positive competition, efficient cooperation, and travel efficiency between metro and bus has been significantly enhanced after optimization. Moreover, this paper provides a reasonable reference for public transport network planning and resource allocation.","2020-01","2025-08-07 08:34:22","2025-08-07 08:34:22","2025-08-07 08:34:22","1493","","4","12","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 4 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/alexanderklaus/Zotero/storage/9BI36AK3/Wei et al. - 2020 - Optimizing Bus Line Based on Metro-Bus Integration.pdf","","","bus line; co-opetition; competition; cooperation; metro station","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJUGLBNU","journalArticle","2023","Abdelwahed, Ayman; Van Den Berg, Pieter L.; Brandt, Tobias; Ketter, Wolfgang","Balancing convenience and sustainability in public transport through dynamic transit bus networks","Transportation Research Part C: Emerging Technologies","","0968090X","10.1016/j.trc.2023.104100","https://linkinghub.elsevier.com/retrieve/pii/S0968090X2300089X","The rapid transformation of urban mobility fueled by the evolution of digital technologies has enabled smarter and more convenient modes of transportation. However, these new modes (e.g., ride-hailing and ridesharing) are not always more sustainable than traditional modes, such as public transport networks. In this work, we propose a dynamic transit bus system that aims at combining the higher convenience provided to passengers in on-demand systems with the sustainability of public transport. The goal is to attract more passengers to the transit service by offering reduced walk-to-station distance and total travel time compared to the fixed lines. Our proposed system plans the routes and intermediate stops of the transit lines based on the actual observed demand. Due to the complexity of the resulting optimization problem under investigation, we propose a solution method which splits the problem into four stages: clustering, initialization, optimization, and merging. We compare our proposed system in two settings: flexible (i.e., all intermediate stations are dynamic), and semi-flexible (i.e., original fixed lines intermediate stations are kept at the route and more dynamic stations are added) to the fixed static line. Our results show that our proposed system offers a more sustainable option and can reduce the system-wide travel distance by attracting more on-demand passengers to the transit service by offering them reduced walking distance and travel duration compared to the static lines. We also quantify the positive impact of passengers’ willingness to act more sustainably by accepting to walk more or arrive later to their destinations on the system-wide sustainability.","2023-06","2025-08-07 08:38:18","2025-08-07 08:38:19","2025-08-07 08:38:18","104100","","","151","","Transportation Research Part C: Emerging Technologies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/53BKHAKX/Abdelwahed et al. - 2023 - Balancing convenience and sustainability in public transport through dynamic transit bus networks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
