"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GCDQYS9H","journalArticle","2018","Shen, Yu; Zhang, Hongmou; Zhao, Jinhua","Integrating shared autonomous vehicle in public transportation system: A supply-side simulation of the first-mile service in Singapore","Transportation Research Part A: Policy and Practice","","09658564","10.1016/j.tra.2018.04.004","https://linkinghub.elsevier.com/retrieve/pii/S096585641730681X","This paper proposes and simulates an integrated autonomous vehicle (AV) and public transportation (PT) system. After discussing the attributes of and the interaction among the prospective stakeholders in the system, we identify opportunities for synergy between AVs and the PT system based on Singapore’s organizational structure and demand characteristics. Envisioning an integrated system in the context of the ﬁrst-mile problem during morning peak hours, we propose to preserve high demand bus routes while repurposing low-demand bus routes and using shared AVs as an alternative. An agent-based supply-side simulation is built to assess the performance of the proposed service in ﬁfty-two scenarios with diﬀerent ﬂeet sizes and ridesharing preferences. Under a set of assumptions on AV operation costs and dispatching algorithms, the results show that the integrated system has the potential of enhancing service quality, occupying fewer road resources, being ﬁnancially sustainable, and utilizing bus services more eﬃciently.","2018-07","2025-08-09 08:10:08","2025-08-09 08:10:08","2025-08-09 08:10:08","125-136","","","113","","Transportation Research Part A: Policy and Practice","Integrating shared autonomous vehicle in public transportation system","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/3S65XQT8/Shen et al. - 2018 - Integrating shared autonomous vehicle in public transportation system A supply-side simulation of t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GV8HKZ4","journalArticle","2014","Ryley, Tim J.; A. Stanley, Peter; P. Enoch, Marcus; M. Zanni, Alberto; A. Quddus, Mohammed","Investigating the contribution of Demand Responsive Transport to a sustainable local public transport system","Research in Transportation Economics","","07398859","10.1016/j.retrec.2014.09.064","https://linkinghub.elsevier.com/retrieve/pii/S073988591400105X","Various studies have advocated the potential for Demand Responsive Transport (DRT) services to deliver sustainable local public transport. This paper investigates the sustainability credentials of DRT services using evidence from UK-based research. More speciﬁcally, six potential DRT market niches were identiﬁed, including those which offer potential commercial opportunities (e.g. airport surface access) and those that meet social needs (e.g. non-emergency hospital trips). Mode share of these DRT services, against car or bus travel, was simulated from mixed logit models within a panel data modelling framework estimated from survey data. The survey was conducted of over 400 respondents in urban (Rochdale, Manchester) and rural (Melton Mowbray, Leicestershire) areas.","2014-12","2025-08-09 08:15:45","2025-08-09 08:15:45","2025-08-09 08:15:45","364-372","","","48","","Research in Transportation Economics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/BU4YRHV6/Ryley et al. - 2014 - Investigating the contribution of Demand Responsive Transport to a sustainable local public transpor.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUJ2D6GN","journalArticle","2013","Kim, Myungseob (Edward); Schonfeld, Paul","Integrating bus services with mixed fleets","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2013.06.013","https://linkinghub.elsevier.com/retrieve/pii/S0191261513001124","Conventional bus service (with ﬁxed routes and schedules) has lower average cost than ﬂexible bus service (with demand-responsive routes) at high demand densities. At low demand densities ﬂexible bus service has lower average costs and provides convenient door-to-door service. Bus size and operation type are related since larger buses have lower average cost per passenger at higher demand densities. The operation type and other decisions are jointly optimized here for a bus transit system connecting a major terminal to local regions. Conventional and ﬂexible bus sizes, conventional bus route spacings, areas of service zones for ﬂexible buses, headways, and ﬂeet sizes are jointly optimized in multi-dimensional nonlinear mixed integer optimization problems. To solve them, we propose a hybrid approach, which combines analytic optimization with a Genetic Algorithm. Numerical analysis conﬁrms that the proposed method provides near-optimal solutions and shows how the proposed Mixed Fleet Variable Type Bus Operation (MFV) can reduce total cost compared to alternative operations such as Single Fleet Conventional Bus (SFC), Single Fleet Flexible Bus (SFF), Mixed Fleet Conventional Bus (MFC) and Mixed Fleet Flexible Bus (MFF). With consistent system-wide bus sizes, capital costs are reduced by sharing ﬂeets over times and over regions. The sensitivity of results to several important parameters is also explored.","2013-09","2025-08-09 08:20:29","2025-08-09 08:20:29","2025-08-09 08:20:29","227-244","","","55","","Transportation Research Part B: Methodological","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/XSDBP6SF/Kim und Schonfeld - 2013 - Integrating bus services with mixed fleets.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q4IPUK63","journalArticle","2014","Wang, Chao; Quddus, Mohammed; Enoch, Marcus; Ryley, Tim; Davison, Lisa","Multilevel modelling of Demand Responsive Transport (DRT) trips in Greater Manchester based on area-wide socio-economic data","Transportation","","1572-9435","10.1007/s11116-013-9506-1","https://doi.org/10.1007/s11116-013-9506-1","Providing public transport in areas of low demand has long proved to be a challenge to policy makers and practitioners. With the developing economic, social and environmental trends, there is pressure for alternative solutions to the policy of subsidising conventional bus services. One potential solution is to adopt more flexible routes and/or timetables to better match the required demand. Therefore such ‘on demand’ or ‘Demand Responsive Transport’ (DRT) services (known as paratransit in the US) have been adopted in a number of locations. This paper seeks to explore the effects of area-wide factors on the demand of DRT by reporting the results of a statistical analysis of DRT service provision in the metropolitan region of Greater Manchester, the public transport authority of which offers one of the largest and most diverse range of DRT schemes in the UK. Specifically, this paper employs a multilevel modelling approach to investigate the impact of both DRT supply-oriented factors at the service area level and socio-economic factors at the lower super output area (LSOA) level on the average number of trips made by DRT per year. This hierarchical or ‘nested’ structure was adopted because typically the LSOAs within the same Service Area may share similar characteristics. It is found that the demand for DRT services was higher in areas with low car ownership, low population density, high proportion of white people, and high levels of social deprivation, measured in terms of income, employment, education, housing and services, health and disability, and living environment.","2014-05-01","2025-08-09 08:26:53","2025-08-09 08:26:53","2025-08-09 08:26:53","589-610","","3","41","","Transportation","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/HWT585PW/Wang et al. - 2014 - Multilevel modelling of Demand Responsive Transport (DRT) trips in Greater Manchester based on area-.pdf","","","Flexible public transport; Area-wide socio-economic factors; Demand Responsive Transport (DRT); Multilevel statistical modelling; Paratransit; System-wide effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6CS24KA","journalArticle","2021","Galarza Montenegro, Bryan David; Sörensen, Kenneth; Vansteenwegen, Pieter","A large neighborhood search algorithm to optimize a demand-responsive feeder service","Transportation Research Part C: Emerging Technologies","","0968090X","10.1016/j.trc.2021.103102","https://linkinghub.elsevier.com/retrieve/pii/S0968090X21001236","Feeder services are public transit services that transport people from a low demand, typically suburban, area to a high demand area, such as a transportation hub or a city. Here, passengers continue their journey using traditional forms of public transport. On the one hand, on-demand feeder services have been a topic of discussion in a number of recent studies, since these services can serve the demand efficiently. On the other hand, traditional feeder services with predetermined routes and timetables provide predictability and easier cost control. In this paper, a demand-responsive feeder service is considered, which combines positive characteristics of both traditional services as well as on-demand-only services. This feeder service has mandatory bus stops which are always serviced, as well as optional bus stops which are only serviced when there is demand for transportation nearby. To optimize the performance of this feeder service, a large neighborhood search heuristic is developed. Experimental results on 14 benchmark instances illustrate that the LNS algorithm obtains solutions with an average gap of 1% or less compared to the optimal solution, within 1s of runtime. Larger instances can also be solved, typically in less than 60s. The results also show that the demand-responsive feeder service generally outperforms a traditional service in terms of service quality, often by more than 60%.","2021-06","2025-08-09 08:36:37","2025-08-09 08:36:37","2025-08-09 08:36:37","103102","","","127","","Transportation Research Part C: Emerging Technologies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/JP3D5R56/Galarza Montenegro et al. - 2021 - A large neighborhood search algorithm to optimize a demand-responsive feeder service.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHGTS79I","journalArticle","2019","(Edward) Kim, Myungseob; Levy, Joshua; Schonfeld, Paul","Optimal zone sizes and headways for flexible-route bus services","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2019.10.006","https://linkinghub.elsevier.com/retrieve/pii/S019126151831155X","Flexible-route bus systems serving passengers at their doorsteps may be preferable to ﬁxed-route bus systems in areas with low demand densities or whose roads cannot accommodate relatively large ﬁxed-route buses. Flexible-route systems may also be preferable for elderly or handicapped riders for whom accessing the pre-determined stops on ﬁxed routes is diﬃcult. Since bus systems with ﬂexible demand-responsive routes retain the economic and environmental advantages of public transportation, it is important to analyze them and optimize their characteristics to match their operating environments. This study shows how the total cost can be minimized for a ﬂexible-route bus system with a many-to-one demand pattern by jointly optimizing its headway and service zone size. Numerical results demonstrate the model’s applicability and indicate how such ﬂexible-route systems should be adapted to demand characteristics and planning constraints.","2019-12","2025-08-09 08:40:27","2025-08-09 08:40:27","2025-08-09 08:40:27","67-81","","","130","","Transportation Research Part B: Methodological","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/Q8J6T2LC/(Edward) Kim et al. - 2019 - Optimal zone sizes and headways for flexible-route bus services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ACGJUAW","journalArticle","2009","Diana, Marco; Quadrifoglio, Luca; Pronello, Cristina","A methodology for comparing distances traveled by performance-equivalent fixed-route and demand responsive transit services","Transportation Planning and Technology","","0308-1060, 1029-0354","10.1080/03081060903119618","http://www.tandfonline.com/doi/abs/10.1080/03081060903119618","","2009-08","2025-08-09 08:46:06","2025-08-09 08:46:06","2025-08-09 08:46:06","377-399","","4","32","","Transportation Planning and Technology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/TBGZSMC3/Diana et al. - 2009 - A methodology for comparing distances traveled by performance-equivalent fixed-route and demand resp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XP246UFR","journalArticle","2019","Leich, Gregor; Bischoff, Joschka","Should autonomous shared taxis replace buses? A simulation study","Transportation Research Procedia","","23521465","10.1016/j.trpro.2019.09.076","https://linkinghub.elsevier.com/retrieve/pii/S2352146519304934","The introduction of shared autonomous vehicles (SAV) will likely reduce operation cost per vehicle and might thereby allow to enhance conventional public transit systems with numerous small SAVs oﬀering ﬂexible ridesharing-like feeder services. These demand-responsive services could replace conventional bus lines limited by their ﬁxed routes and their ﬁxed schedules. This simulation study explores the potential of replacing conventional bus lines with shared autonomous vehicles in a suburban area of Berlin. Several scenarios with diﬀerent ﬂeet sizes and vehicle sizes are simulated using the multi agent transport simulation MATSim. The simulation suggests for all evaluated scenarios higher operating costs and only slight travel time savings in comparison to conventional buses. Door-to-door service allows for signiﬁcant reductions in average walk time, but causes numerous detours which consume a high share of the time gained. A ﬂeet of 150 SAVs with 4 seats each seemed appropriate for the simulated area with approximately 24 000 inhabitants.","2019","2025-08-09 08:48:52","2025-08-09 08:48:52","2025-08-09 08:48:52","450-460","","","41","","Transportation Research Procedia","Should autonomous shared taxis replace buses?","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/6XAZLSSC/Leich und Bischoff - 2019 - Should autonomous shared taxis replace buses A simulation study.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBT8YWGX","journalArticle","2022","Dytckov, Sergei; Persson, Jan A.; Lorig, Fabian; Davidsson, Paul","Potential Benefits of Demand Responsive Transport in Rural Areas: A Simulation Study in Lolland, Denmark","Sustainability","","2071-1050","10.3390/su14063252","https://www.mdpi.com/2071-1050/14/6/3252","In rural areas with low demand, demand responsive transport (DRT) can provide an alternative to the regular public transport bus lines, which are expensive to operate in such conditions. With simulation, we explore the potential effects of introducing a DRT service that replaces existing bus lines in Lolland municipality in Denmark, assuming that the existing demand remains unchanged. We set up the DRT service in such a way that its service quality (in terms of waiting time and in-vehicle time) is comparable to the replaced buses. The results show that a DRT service can be more cost efficient than regular buses and can produce significantly less CO2 emissions when the demand level is low. Additionally, we analyse the demand density at which regular buses become more cost efficient and explore how the target service quality of a DRT service can affect operational characteristics. Overall, we argue that DRT could be a more sustainable mode of public transport in low demand areas.","2022-01","2025-08-09 08:51:29","2025-08-09 08:51:29","2025-08-09 08:51:29","3252","","6","14","","","Potential Benefits of Demand Responsive Transport in Rural Areas","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Publisher: Multidisciplinary Digital Publishing Institute","","/Users/alexanderklaus/Zotero/storage/MXRW8GYS/Dytckov et al. - 2022 - Potential Benefits of Demand Responsive Transport in Rural Areas A Simulation Study in Lolland, Den.pdf","","","demand-responsive transport; emissions; microsimulation; operational costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYFSQYYZ","journalArticle","2021","Papanikolaou, Anestis; Basbas, Socrates","Analytical models for comparing Demand Responsive Transport with bus services in low demand interurban areas","Transportation Letters","","1942-7867, 1942-7875","10.1080/19427867.2020.1716474","https://www.tandfonline.com/doi/full/10.1080/19427867.2020.1716474","","2021-04-21","2025-08-09 08:56:45","2025-08-09 08:56:45","2025-08-09 08:56:45","255-262","","4","13","","Transportation Letters","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/PB455TLL/Papanikolaou und Basbas - 2021 - Analytical models for comparing Demand Responsive Transport with bus services in low demand interurb.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
