"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"32K6JLWT","journalArticle","2015","Speranza, M.Grazia; Archetti, C.; Weyland, Dennis","On-demand public transportation","","","","","","In this paper we assess an on-demand public transportation system through a simulation study. The on-demand system makes use of minibuses that have neither fixed itineraries nor fixed stops. The minibuses are rerouted online to dynamically accommodate the requests received by the users. To use the on-demand service users communicate, close to their desired departure time, the origin and destination of the trip. If the estimated arrival time at destination fulfills the user acceptance threshold, it will be chosen. In the simulation we allow the user to walk, to use the on-demand service, a bus or a private car. We will consider a large number of scenarios to evaluate the potential costs/benefits of the introduction of an on-demand service. We will also analyze the scalability and the responsiveness of the service. The results suggest that an on-demand public transportation system would be preferred by most users to the private car and to a bus service. This in turn would imply a more efficient and environmentally friendly transportation system.","2015-01-01","2025-08-12 14:54:48","2025-08-12 14:54:48","","","","","","","","","","","","","","","","","","","","ResearchGate","","","","/Users/alexanderklaus/Zotero/storage/U7KJ3LR4/Speranza et al. - 2015 - On-demand public transportation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EIL3CQV","journalArticle","2018","Alonso-González, María J.; Liu, Theo; Cats, Oded; Van Oort, Niels; Hoogendoorn, Serge","The Potential of Demand-Responsive Transport as a Complement to Public Transport: An Assessment Framework and an Empirical Evaluation","Transportation Research Record: Journal of the Transportation Research Board","","0361-1981, 2169-4052","10.1177/0361198118790842","https://journals.sagepub.com/doi/10.1177/0361198118790842","Demand-responsive transport (DRT) services (collective on-demand services, such as shared ridesourcing and microtransit) offer a collective flexible travel alternative that can potentially complement fixed transit (FT). The combination of an on-demand and line-based service holds the promise of improved mobility and increased service coverage. However, to date, it remains unknown whether DRT services deliver these much anticipated improvements. This study presents an assessment framework to evaluate the performance of DRT and related changes in accessibility, and performs an empirical analysis for a recently introduced DRT service in the Netherlands. The framework includes a performance benchmark between DRT and FT based on the computation of generalized journey times of the DRT rides and the FT alternatives, and can help identify whether DRT is used as a complement or a substitute for FT. The framework covers the spatial and temporal dimensions, and the explicit consideration of rejected trips is an integral part of the evaluation. Results suggest large accessibility improvements for DRT users, especially for some underserved origin–destination pairs.","2018-12","2025-08-12 15:03:01","2025-08-12 15:03:01","2025-08-12 15:03:01","879-889","","8","2672","","Transportation Research Record: Journal of the Transportation Research Board","The Potential of Demand-Responsive Transport as a Complement to Public Transport","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/HN3V6EL6/Alonso-González et al. - 2018 - The Potential of Demand-Responsive Transport as a Complement to Public Transport An Assessment Fram.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZYPPXWZ2","journalArticle","2015","Liu, Tao; Ceder, Avishai (Avi)","Analysis of a new public-transport-service concept: Customized bus in China","Transport Policy","","0967070X","10.1016/j.tranpol.2015.02.004","https://linkinghub.elsevier.com/retrieve/pii/S0967070X15000256","In recent years, an innovative mode of public transport (PT) service, known as customized bus (CB), has been springing up across China. This service, providing advanced, personalized and ﬂexible demandresponsive PT, is offered to speciﬁc clientele, especially commuters. The present work analyzes, for the ﬁrst time, the evolution of this new PT concept across 30 Chinese cities where CB systems are currently in operation or under construction. Unlike conventional bus transit service, CB users are actively involved in various operational planning activities. CB personalizes PT service by using interactive and integrated information platforms, such as internet website, telephone and smartphone. The analysis comprises three components: ﬁrst, a comprehensive examination of the background of CB and its temporal and spatial distribution in China; second, an analysis of the operation-planning process, including elements of online demand collection, network route design, timetable development, vehicle scheduling, crew scheduling, real-time control, and fare design and collection: third, a summary of the results of the examination and analysis, presenting pros, cons and recommendations. The successful implementation of CB in China demonstrates that this new PT service concept can effectively meet the ever-increasing mobility needs of large populations nation-wide. Similarly, the present work can provide a valuable reference for policymakers, academic researchers, PT practitioners and others worldwide.","2015-04","2025-08-12 15:10:08","2025-08-12 15:10:08","2025-08-12 15:10:08","63-76","","","39","","Transport Policy","Analysis of a new public-transport-service concept","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/YUMPNUPH/Liu und Ceder - 2015 - Analysis of a new public-transport-service concept Customized bus in China.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMJCEFDZ","journalArticle","2020","Gorev, Andrey; Popova, Olga; Solodkij, Aleksandr","Demand-responsive transit systems in areas with low transport demand of “smart city”","Transportation Research Procedia","","23521465","10.1016/j.trpro.2020.10.020","https://linkinghub.elsevier.com/retrieve/pii/S2352146520307651","The development of modern telecommunications allows the concept of a “smart city” to increase the flexibility of public transportation significantly and, thus, improve population mobility. In this regard, public transportation represents a demandresponsive transit (DRT) system. This system occupies an intermediate position between route systems and taxi services and ensures flexibility in providing on-demand transport services. The article describes the main technologies that can be used in the DRT system, including those with fixed routes (Flexible-Route Segments, Request Stops) and without fixed routes (DemandResponsive Connector, Feeder Service, Zone Route, Point Deviation). Despite the wide international experience in implementing DRT in practice, there are no clear criteria to determine the conditions, under which it is reasonable to introduce a particular technology of flexible service for passengers. The article systematizes the factors that determine the feasibility of transferring a bus route to the DRT system in particular time intervals and also determines a sequence of actions for the introduction of flexible modes of public transport services. The considered technologies to manage public transportation on demand show that it is possible to combine regular traffic and demand-responsive service, using these modes at different times. Such an approach allows reducing the carrier’s costs while maintaining or even improving the quality of public transportation compared with systems implementing only flexible service modes.","2020","2025-08-12 15:10:44","2025-08-12 15:10:44","2025-08-12 15:10:44","160-166","","","50","","Transportation Research Procedia","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/P6HYJNKA/Gorev et al. - 2020 - Demand-responsive transit systems in areas with low transport demand of “smart city”.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L9P9D2C2","journalArticle","2004","Brake, Jenny; Nelson, John D.; Wright, Steve","Demand responsive transport: towards the emergence of a new market segment","Journal of Transport Geography","","09666923","10.1016/j.jtrangeo.2004.08.011","https://linkinghub.elsevier.com/retrieve/pii/S0966692304000651","This paper focuses on recent British experience with telematics-based Demand Responsive Transport (DRT) services in rural areas. In recent years, the ability of DRT concepts to provide eﬃcient, viable transport services has been greatly enhanced by the use of transport telematics as demonstrated in a variety of environments across Europe. The success of British local authorities in winning substantial funding under the Rural and Urban Bus Challenge programmes for the implementation of DRT has resulted in widespread interest in ﬂexible forms of transport. It is thus timely to evaluate the impact of this substantial investment. Drawing on the experience of a number of UK schemes, the paper assesses the reasons for the new-found success of what is becoming a relatively well-accepted mode by concentrating on a variety of factors including: service characteristics (particularly route ﬂexibility, ﬂexibility of booking method and pre-booking regime), emerging markets and the overall contribution of DRT to increased social inclusion and intermodality. Impediments to the development of DRT services are highlighted. The paper also discusses current research into the next generation of DRT services and concludes by identifying some key issues for policy-makers concerned with the future implementation of DRT services.","2004-12","2025-08-12 15:11:53","2025-08-12 15:11:53","2025-08-12 15:11:53","323-337","","4","12","","Journal of Transport Geography","Demand responsive transport","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/LTLK9DE5/Brake et al. - 2004 - Demand responsive transport towards the emergence of a new market segment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3GS7RE4","journalArticle","2021","Inturri, Giuseppe; Giuffrida, Nadia; Ignaccolo, Matteo; Le Pira, Michela; Pluchino, Alessandro; Rapisarda, Andrea; D'Angelo, Riccardo","Taxi vs. demand responsive shared transport systems: An agent-based simulation approach","Transport Policy","","0967070X","10.1016/j.tranpol.2021.01.002","https://linkinghub.elsevier.com/retrieve/pii/S0967070X21000081","Public transport in urban and suburban areas is not always able to meet population’s need of accessibility to jobs, education, health and other opportunities in terms of routes and frequencies; therefore, those who do not own a private vehicle, or who cannot afford individual public transport (e.g. taxis), are often in a condition of social exclusion. Taking advantages of new ICT tools and facilities, Demand Responsive Shared Transport (DRST) services can provide “on demand” transport gathering ride bookings of different users and routing a fleet of vehicles to satisfy passengers’ needs while minimizing the cost for the operator.","2021-03","2025-08-12 15:13:33","2025-08-12 15:13:33","2025-08-12 15:13:33","116-126","","","103","","Transport Policy","Taxi vs. demand responsive shared transport systems","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/QKRSUNGJ/Inturri et al. - 2021 - Taxi vs. demand responsive shared transport systems An agent-based simulation approach.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7RGHAVB","journalArticle","2012","Davison, Lisa; Enoch, Marcus; Ryley, Tim; Quddus, Mohammed; Wang, Chao","Identifying potential market niches for Demand Responsive Transport","Research in Transportation Business & Management","","22105395","10.1016/j.rtbm.2012.04.007","https://linkinghub.elsevier.com/retrieve/pii/S2210539512000089","","2012-08","2025-08-12 15:13:59","2025-08-12 15:13:59","2025-08-12 15:13:59","50-61","","","3","","Research in Transportation Business & Management","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/FZA3ZQ9S/Davison et al. - 2012 - Identifying potential market niches for Demand Responsive Transport.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JFKWAKXI","journalArticle","2020","Huang, Ailing; Dou, Ziqi; Qi, Liuzi; Wang, Lewen","Flexible Route Optimization for Demand-Responsive Public Transit Service","Journal of Transportation Engineering, Part A: Systems","","2473-2907, 2473-2893","10.1061/JTEPBS.0000448","https://ascelibrary.org/doi/10.1061/JTEPBS.0000448","","2020-12","2025-08-12 15:20:13","2025-08-12 15:20:13","2025-08-12 15:20:13","04020132","","12","146","","J. Transp. Eng., Part A: Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/3DLVYJ4E/Huang et al. - 2020 - Flexible Route Optimization for Demand-Responsive Public Transit Service.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3Y7CN86","journalArticle","2017","McLeod, Sam; Scheurer, Jan; Curtis, Carey","Urban Public Transport: Planning Principles and Emerging Practice","Journal of Planning Literature","","0885-4122","10.1177/0885412217693570","https://doi.org/10.1177/0885412217693570","This article reviews the literature on current “best practice” principles for planning public transport (PT) networks within the context of planners seeking to transition their cities toward sustainable mobility. An overview is provided of the history of ideas about network development. The emerging frontiers for multimodal, demand-responsive PT and the potential implications of new transport technology on traditional PT are discussed. The future role of transit-oriented development within PT network structures is considered. The “moderators” to network design that may impede future best practice brings the article to conclusion.","2017-08-01","2025-08-12 15:22:00","2025-08-12 15:22:00","2025-08-12 15:22:00","223-239","","3","32","","","Urban Public Transport","","","","","","","EN","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/alexanderklaus/Zotero/storage/PJAV2GH8/McLeod et al. - 2017 - Urban Public Transport Planning Principles and Emerging Practice.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IYCK8UKF","journalArticle","2012","Daniels, Rhonda; Mulley, Corinne","Flexible Transport Services: Overcoming Barriers to Implementation in Low-Density Urban Areas","Urban Policy and Research","","0811-1146","10.1080/08111146.2012.660872","https://doi.org/10.1080/08111146.2012.660872","Flexible transport services include a range of passenger transport mobility offers, where services are flexible in one or more of the dimensions of route, vehicle allocation, vehicle operator, type of payment and passenger category. Although flexible transport services are used increasingly in Europe and the USA as part of the public transport mix where regular services are not sustainable, there are few working examples of these services in urban Australia, although there are many opportunities. Through a series of semi-structured interviews with key stakeholders in New South Wales, Australia, the article identifies barriers to greater use of flexible transport services in low-density urban areas. These five sets of barriers include: institutional frameworks such as regulation; economic issues of funding and cost; operational issues such as fleet and vehicles; operator and community attitudes, awareness and cultures; and information and education. The article makes recommendations to enable and encourage greater use of flexible transport services by transport service planners and providers as part of the public transport mix in low-density urban environments where it can be more difficult to provide regular and scheduled public transport.","2012-03-01","2025-08-12 15:23:53","2025-08-12 15:23:53","2025-08-12 15:23:53","59-76","","1","30","","","Flexible Transport Services","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/08111146.2012.660872","","/Users/alexanderklaus/Zotero/storage/6W4H87A5/Daniels und Mulley - 2012 - Flexible Transport Services Overcoming Barriers to Implementation in Low-Density Urban Areas.pdf","","","barriers to implementation; Flexible transport services; low-density urban public transport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
