"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F9HHM4QM","journalArticle","2022","Melis, Lissa; Sörensen, Kenneth","The static on-demand bus routing problem: large neighborhood search for a dial-a-ride problem with bus station assignment","International Transactions in Operational Research","","1475-3995","10.1111/itor.13058","https://onlinelibrary.wiley.com/doi/abs/10.1111/itor.13058","We introduce a novel optimization problem to support the planning and routing of on-demand buses in an urban context. We call this problem the on-demand bus routing problem (ODBRP). Given are a fleet of buses with fixed capacity, a set of bus stations and travel times between them, and a set of transportation requests. Each transportation request consists of a set of potential departure and a set of potential arrival bus stations, as well as a time window, that is, an earliest departure time and a latest arrival time. The aim of the ODBRP is to (1) assign each passenger to a departure and arrival bus station and (2) develop a set of bus routes to fulfill each request in time while minimizing the total travel time of all users. We present the static version of the ODBRP, as well as a straightforward large neighborhood search heuristic to solve it. The performance of the heuristic is established by comparing it to an off-the-shelve heuristic solver (LocalSolver). We also use our heuristic to solve (slightly modified instances of) the well-known dial-a-ride problem. The results found by the heuristic for the on-demand bus system are compared to those of a simulated traditional public bus system with fixed lines and timetables. A thorough analysis of the comparison demonstrates that total user ride times can be significantly lower in an on-demand public bus system and shows that an on-demand bus system works best with a large number of small buses.","2022","2025-07-22 09:11:25","2025-07-22 09:11:25","2025-07-22 09:11:25","1417-1453","","3","29","","","The static on-demand bus routing problem","","","","","","","en","© 2021 The Authors. International Transactions in Operational Research © 2021 International Federation of Operational Research Societies","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/itor.13058","","/Users/alexanderklaus/Zotero/storage/P8S3Q2MA/Melis und Sörensen - 2022 - The static on-demand bus routing problem large neighborhood search for a dial-a-ride problem with b.pdf","","","metaheuristic; public transport; routing; transportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PED76ZA5","journalArticle","2024","Melis, Lissa; Queiroz, Michell; Sörensen, Kenneth","The integrated on-demand bus routing problem: Combining on-demand buses with a high-frequency fixed line public transport network","Computers & Operations Research","","0305-0548","10.1016/j.cor.2024.106554","https://www.sciencedirect.com/science/article/pii/S0305054824000261","In this work we analyze the performance of integrating a large-scale on-demand bus system with a high-frequency fixed line public transport network in an urban context. Given are a high-speed metro network, a set of real-time requests, a set of bus station locations and a fleet of fixed capacity minibuses. Requests have a set of possible departure/arrival bus stations within walking distance of the actual departure/arrival location and have to be served within a certain time window. The aim is to simultaneously (1) decide on the trip type for each passenger (only bus, only metro or mixed), (2) route the on-demand buses, (3) in the case of a bus-leg in the trip, assign each passenger to a departure and arrival bus station (bus station assignment), and (4) in the case of a metro-leg in the trip, decide the assigned transfer station(s) and used metro lines (transfer station assignment). We call this problem the integrated on-demand bus routing problem. After presenting a mathematical model, we propose a quick and scalable insertion-based heuristic to solve the problem. The results found by the heuristic are further used to compare the performance of an integrated system, to a system that only uses on-demand buses. It is concluded that the integrated system always performs better regarding the service rate or number of served requests. Depending on the speed and layout of the metro network, also the average user ride time per passenger improves by the integration.","2024-04-01","2025-07-22 09:31:26","2025-07-22 09:31:26","2025-07-22 09:31:26","106554","","","164","","Computers & Operations Research","The integrated on-demand bus routing problem","","","","","","","","","","","","ScienceDirect","","","","/Users/alexanderklaus/Zotero/storage/SWFVPKNT/Melis et al. - 2024 - The integrated on-demand bus routing problem Combining on-demand buses with a high-frequency fixed.pdf","","","Mobility on demand; Public transport; Heuristic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TXL3MIJ","journalArticle","2022","Yoon, Gyugeun; Chow, Joseph Y. J.; Rath, Srushti","A Simulation Sandbox to Compare Fixed-Route, Semi-flexible Transit, and On-demand Microtransit System Designs","KSCE Journal of Civil Engineering","","1226-7988","10.1007/s12205-022-0995-3","https://www.sciencedirect.com/science/article/pii/S1226798824015204","With advances in emerging technologies, options for operating public transit services have broadened from conventional fixed-route service through semi-flexible service to on-demand microtransit. Nevertheless, guidelines for deciding between these services remain limited in the real implementation. An open-source simulation sandbox is developed that can compare state-of-the-practice methods for evaluating between the different types of public transit operations. For the case of the semi-flexible service, the Mobility Allowance Shuttle Transit (MAST) system is extended to include passenger deviations. A case study demonstrates the sandbox to evaluate and existing B63 bus route in Brooklyn, NY and compares its performance with the four other system designs spanning across the three service types for three different demand scenarios.","2022-07-01","2025-07-22 12:40:13","2025-07-22 12:40:16","2025-07-22 12:40:13","3043-3062","","7","26","","KSCE Journal of Civil Engineering","","","","","","","","","","","","","ScienceDirect","","","","/Users/alexanderklaus/Zotero/storage/24HRD2XQ/1-s2.0-S1226798824015204-main.pdf","","","Public transport; Mobility-as-a-Service; On-demand microtransit; Semi-flexible transit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2FHK7DM","journalArticle","2016","Jin, Jian Gang; Teo, Kwong Meng; Odoni, Amedeo R.","Optimizing Bus Bridging Services in Response to Disruptions of Urban Transit Rail Networks","Transportation Science","","0041-1655, 1526-5447","10.1287/trsc.2014.0577","https://pubsonline.informs.org/doi/10.1287/trsc.2014.0577","With growing dependence of many cities on urban mass transit, even limited disruptions of public transportation networks can lead to widespread confusion and significant productivity losses. A need exists for systematic approaches to developing efficient responses to minimize such negative impacts. We present an optimization-based approach that responds to degradations of urban transit rail networks by introducing smartly designed bus bridging services that take into consideration commuter travel demand at the time of the disruption. The approach consists of three fundamental steps, namely, (1) a column generation procedure to dynamically generate demand-responsive candidate bus routes, (2) a path-based multicommodity network flow model to identify the most effective combination of these candidate bus routes, and (3) another optimization-based procedure to determine simultaneously the optimal allocation of available vehicle resources among the selected routes and corresponding headways. The approach is applied to two case studies defined using actual data. The results show that the proposed approach can be carried out efficiently and that adding nonintuitive bus routes to the standard bus bridging services can significantly reduce the average travel delay. Moreover, the approach distributes delay more equitably. Many realistic operating constraints can also be handled.","2016-08","2025-08-12 07:15:57","2025-08-12 07:15:57","2025-08-12 07:15:57","790-804","","3","50","","Transportation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/R7DAGF45/Jin et al. - 2016 - Optimizing Bus Bridging Services in Response to Disruptions of Urban Transit Rail Networks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CINM6R5S","journalArticle","2008","Enrique Fernández L., J.; De Cea Ch., Joaquín; Malbran, R. Henry","Demand responsive urban public transport system design: Methodology and application","Transportation Research Part A: Policy and Practice","","09658564","10.1016/j.tra.2007.12.008","https://linkinghub.elsevier.com/retrieve/pii/S0965856408000281","In this paper, we present a methodology for solving the Public Transport Network Design Problem (PTNDP) and describe its application in the context of the Design Study developed in order to propose a new structure for the transit system of the city of Santiago, Chile. Firstly, we brieﬂy deﬁne the PTNDP as a multilevel programming problem and discuss the solution method implemented. Then, the application of this methodology to the Santiago transit system is presented, and the main results obtained are analyzed. The new restructured system, based on a hierarchy of specialized services that complement and coordinate their operations and using an integrated fare scheme, is compared with an optimized version (optimal frequencies) of the current one, a set of direct services, mainly based on the operation of independent itineraries, without fare integration. The most important conclusions are the following: (a) the private operating costs and the social costs of the restructured system, using higher standard buses, are considerably lower than the costs of the current system; (b) these cost reductions allow government authorities to introduce an important number of modernizing measures without subsidies and fare increases.","2008-08","2025-08-12 07:23:56","2025-08-12 07:23:56","2025-08-12 07:23:56","951-972","","7","42","","Transportation Research Part A: Policy and Practice","Demand responsive urban public transport system design","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/Q76QF2IZ/Enrique Fernández L. et al. - 2008 - Demand responsive urban public transport system design Methodology and application.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G73M478J","journalArticle","2019","Yan, Xiang; Levine, Jonathan; Zhao, Xilei","Integrating ridesourcing services with public transit: An evaluation of traveler responses combining revealed and stated preference data","Transportation Research Part C: Emerging Technologies","","0968090X","10.1016/j.trc.2018.07.029","https://linkinghub.elsevier.com/retrieve/pii/S0968090X18310398","Inspired by the success of private ridesourcing companies such as Uber and Lyft, transit agencies have started to consider integrating ridesourcing services (i.e. on-demand, app-driven ridesharing services) with public transit. Ridesourcing services may enhance the transit system in two major ways: replacing underutilized routes to improve operational efficiency, and providing lastmile connectivity to extend transit’s catchment area. While an integrated system of ridesourcing services and public transit is conceptually appealing, little is known regarding whether and how consumers might use a system like this and what key service attributes matter the most to them. This article investigates traveler responses to a proposed integrated transit system, named MTransit, at the University of Michigan Ann Arbor campus. We conducted a large-sample survey to collect both revealed preference (RP) and stated preference (SP) data and fit a RP-SP mixed logit model to examine the main determinants of commuting mode choice. The model results show that transfers and additional pickups are major deterrents for MTransit use. We further applied the model outputs to forecast the demand for MTransit under different deployment scenarios. We find that replacing low-ridership bus lines with ridesourcing services could slightly increase transit ridership while reducing operations costs. The service improvements offered by ridesourcing mainly come from reductions in wait time. Though relatively small in our study, another source of improvement is the decrease of in-vehicle travel time. Moreover, we find that when used to provide convenient last-mile connections, ridesourcing could provide a significant boost to transit. This finding verifies a popular notion among transit professionals that ridesourcing services can serve as a complement to public transit by enhancing last-mile transit access.","2019-08","2025-08-12 09:19:07","2025-08-12 09:19:07","2025-08-12 09:19:07","683-696","","","105","","Transportation Research Part C: Emerging Technologies","Integrating ridesourcing services with public transit","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/G2HDCGCF/Yan et al. - 2019 - Integrating ridesourcing services with public transit An evaluation of traveler responses combining.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79TNQ8Z7","journalArticle","2015","Delling, Daniel; Pajor, Thomas; Werneck, Renato F.","Round-Based Public Transit Routing","Transportation Science","","0041-1655, 1526-5447","10.1287/trsc.2014.0534","https://pubsonline.informs.org/doi/10.1287/trsc.2014.0534","We study the problem of computing all Pareto-optimal journeys in a dynamic public transit network for multiple criteria, such as arrival time and number of transfers. Existing algorithms consider this as a graph problem and solve it using various graph search algorithms. Unfortunately, this leads to either high query times or suboptimal solutions. We take a different approach. We introduce RAPTOR, our novel round-based public transit router. Unlike previous algorithms, it is not Dijkstra-based, looks at each route (such as a bus line) in the network at most once per round, and can be made even faster with simple pruning rules and parallelization using multiple cores. Because it does not rely on preprocessing, RAPTOR works in fully dynamic scenarios. Starting from arrival time and number of transfers as criteria, it can be easily extended to handle flexible departure times or arbitrary additional criteria. As practical examples we consider fare zones and reliability of transfers. When run on complex public transportation networks (such as London), RAPTOR computes all Pareto-optimal journeys between two random locations an order of magnitude faster than previous approaches, which easily enables interactive applications.","2015-08","2025-08-12 09:23:46","2025-08-12 09:23:46","2025-08-12 09:23:46","591-604","","3","49","","Transportation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/FFL28AQV/Delling et al. - 2015 - Round-Based Public Transit Routing.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9563R2V2","journalArticle","2002","Horn, M.E.T","Multi-modal and demand-responsive passenger transport systems: a modelling framework with embedded control systems","Transportation Research Part A: Policy and Practice","","09658564","10.1016/S0965-8564(00)00043-4","https://linkinghub.elsevier.com/retrieve/pii/S0965856400000434","The LITRES-2modelling system provides a framework for investigating the performance of urban passenger transport systems, with particular attention to demand-responsive transport modes and traveller information technologies. The modes covered include conventional timetabled services .buses, trains etc.), taxis .both single- and multiple-hire), and other demand-responsive services. Tables of estimated aggregate demand are disaggregated so as to produce a stream of fully-articulated travel-requests. Individual requests are resolved as single- or multiple-leg journeys, through the use of request-broking and journey-planning modules that seek to minimise travellers' generalised costs. Journey-legs allocated to demand-responsive modes are handled by a ¯eet-scheduling module which includes provision for ``instantaneous'' as well as advance-notice bookings, and for contingent situations such as breakdowns and passenger no-shows. The ¯eet-scheduling and journey-planning modules are designed as embedded control systems and are intended for use in real-time as well as modelling applications. The paper describes the main analytical and procedural components of LITRES-2, and assesses some methodological issues arising from experience in recent planning studies. The system appears to be well suited for use in modelling situations where the critical issues are concerned with the supply rather than demand side of transportation activity. Crown Copyright Ó 2001 Published by Elsevier Science Ltd. All rights reserved.","2002-02","2025-08-12 09:30:28","2025-08-12 09:30:28","2025-08-12 09:30:28","167-188","","2","36","","Transportation Research Part A: Policy and Practice","Multi-modal and demand-responsive passenger transport systems","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/KSFZ5RKA/Horn - 2002 - Multi-modal and demand-responsive passenger transport systems a modelling framework with embedded c.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7TYG3UT","journalArticle","2019","Abe, Ryosuke","Introducing autonomous buses and taxis: Quantifying the potential benefits in Japanese transportation systems","Transportation Research Part A: Policy and Practice","","09658564","10.1016/j.tra.2019.06.003","https://linkinghub.elsevier.com/retrieve/pii/S0965856418312795","The introduction of autonomous buses and taxis is expected to generate such benefits as cost reductions—and particularly for regional bus operations with a substantial deficit—as well as enhancing public transit accessibility through decreased trip costs. The purpose of this paper is to provide an overview of the impacts of introducing autonomous buses and taxis on metropolitan transportation systems by quantifying the costs of travel in Japan, and to discuss the potential benefits. First, this study sets the assumptions on autonomous driving technology, including its impacts on vehicle costs, the decreased labor costs for driving and safety monitoring in buses and taxis, and decreased driving stress for private car users. Next, operating costs are computed for autonomous buses and taxis in Japanese metropolitan areas. The costs of travel, or the sum of monetary and time costs, are then computed with and without vehicle automation for different trip types in high- and low-density metropolitan areas. The results highlight that the costs of public transit trips that currently have a smaller share of time costs in overall trip costs could decrease considerably due to vehicle automation. For instance, costs for 10–20-km trip lengths could decrease by 44–61% for taxi trips and 13–37% for rail/bus trips with taxi access, followed by a decrease of 6–11% for bus trips and 1–11% for rail trips with bus access. Further, private car trip costs could decrease by 11–16%. More substantial cost reductions in rail/bus trips with taxi access could occur in the case of smaller trip distances and/or in residential areas far from stations; larger reductions in rail trips with bus access could occur in low-density metropolitan areas. Finally, it is expected that vehicle automation in more fixed modes of public road transit could primarily benefit the transit industry and government, with such effects as improved labor productivity and reduced subsidies, while vehicle automation in more flexible modes could benefit metropolitan residents as well as the transit industry. This further suggests that a deficit of regional bus operations could be recovered during the transition to the full performance of autonomous buses.","2019-08","2025-08-12 09:37:12","2025-08-12 09:37:12","2025-08-12 09:37:12","94-113","","","126","","Transportation Research Part A: Policy and Practice","Introducing autonomous buses and taxis","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/W9GXPHKB/Abe - 2019 - Introducing autonomous buses and taxis Quantifying the potential benefits in Japanese transportatio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6KNSAVQ","journalArticle","2021","Chen, Xiaowei; Zheng, Hongyu; Wang, Ze; Chen, Xiqun","Exploring impacts of on-demand ridesplitting on mobility via real-world ridesourcing data and questionnaires","Transportation","","1572-9435","10.1007/s11116-018-9916-1","https://doi.org/10.1007/s11116-018-9916-1","On-demand ridesplitting is a form of ridesourcing where riders with similar origins and destinations are matched to the same driver and vehicle in real time, and the ride and costs are split among users. With the convenience of all kinds of ridesourcing services, the number of ridesplitting passengers increases, which may have a great impact on the urban mobility. In this paper, we analyze ridesplitting behavior and its impact on multimodal mobility, e.g., vehicle kilometers traveled (VKT) and transportation modal shift, using real-world ridesourcing data extracted from an on-demand ride service platform in Hangzhou, China, and questionnaires filled by on-demand ridesplitting passengers. With the consideration of the VKT shifted from non-passenger/private vehicles, this paper uses the saved VKT of two ridesplitting types, e.g., DiDi Hitch and DiDi Express ridesplitting, to quantify the ridesplitting impact. For the whole ridesourcing ecosystem, ridesplitting is estimated to decrease 58,124 VKT per day in Hangzhou, of which Hitch and Express ridesplitting contribute 2175 km and 55,949 km per day, respectively. The saved VKT of Hitch is much smaller than Express ridesplitting for the following two reasons: (1) Hitch orders are fewer than Express ridesplitting; (2) more than half of the Hitch passengers shift modes from bus/metro transit or other non-passenger/private cars. This paper shines some lights on understanding the emerging on-demand ridesplitting behavior and quantifying its impact on multimodal urban mobility.","2021-08-01","2025-08-12 09:38:48","2025-08-12 09:38:48","2025-08-12 09:38:48","1541-1561","","4","48","","Transportation","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/NUHJB3TN/Chen et al. - 2021 - Exploring impacts of on-demand ridesplitting on mobility via real-world ridesourcing data and questi.pdf","","","Shared mobility; Multimodal mobility; On-demand ride service; Ridesplitting; Vehicle kilometers traveled (VKT)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
