"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5NRLARK8","journalArticle","2019","Shaheen, Susan; Cohen, Adam","Shared ride services in North America: definitions, impacts, and the future of pooling","Transport Reviews","","0144-1647, 1464-5327","10.1080/01441647.2018.1497728","https://www.tandfonline.com/doi/full/10.1080/01441647.2018.1497728","","2019-07-04","2025-08-14 10:04:01","2025-08-14 10:04:01","2025-08-14 10:04:01","427-442","","4","39","","Transport Reviews","Shared ride services in North America","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/4CBC9ZHY/Shaheen und Cohen - 2019 - Shared ride services in North America definitions, impacts, and the future of pooling.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PL7CD2Y7","journalArticle","2021","Zwick, Felix; Kuehnel, Nico; Moeckel, Rolf; Axhausen, Kay W.","Ride-Pooling Efficiency in Large, Medium-Sized and Small Towns -Simulation Assessment in the Munich Metropolitan Region","Procedia Computer Science","","18770509","10.1016/j.procs.2021.03.083","https://linkinghub.elsevier.com/retrieve/pii/S1877050921007195","This study introduces an autonomous ride-pooling service to six communities with varying population sizes and trip densities in the Munich Metropolitan Region. We analyze a) a laissez-faire scenario without additional policies, deﬁning the modal shift through an incremental mode choice model and b) a draconian scenario in which each within-city car trip is replaced by ridepooling. Results indicate a logarithmic increase in system eﬃciency with increasing trip densities. While the results conﬁrm the potential of ride-pooling systems to reduce private car ﬂeets drastically, a reduction of traveled km is identiﬁed for scenarios with more than 1,000 requests per km2 per day.","2021","2025-08-14 10:06:57","2025-08-14 10:06:57","2025-08-14 10:06:57","662-667","","","184","","Procedia Computer Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/FHN7T2XQ/Zwick et al. - 2021 - Ride-Pooling Efficiency in Large, Medium-Sized and Small Towns -Simulation Assessment in the Munich.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSBNWJ6U","journalArticle","2021","Mitropoulos, Lambros; Kortsari, Annie; Ayfantopoulou, Georgia","A systematic literature review of ride-sharing platforms, user factors and barriers","European Transport Research Review","","1866-8887","10.1186/s12544-021-00522-1","https://doi.org/10.1186/s12544-021-00522-1","Ride-sharing is an innovative on-demand transport service that aims to promote sustainable transport, reduce car utilization, increase vehicle occupancy and public transport ridership. By reviewing ride-sharing studies around the world, this paper aims to map major aspects of ride-sharing, including online platforms, user factors and barriers that affect ride-sharing services, and extract useful insights regarding their successful implementation.","2021-12-07","2025-08-14 10:11:31","2025-08-14 10:11:31","2025-08-14 10:11:31","61","","1","13","","Eur. Transp. Res. Rev.","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/RSI3EXVR/Mitropoulos et al. - 2021 - A systematic literature review of ride-sharing platforms, user factors and barriers.pdf","","","Ride-sharing; Carpooling; Platform; User factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DGECSUG","journalArticle","2023","Hansen, Todd; Sener, Ipek Nese","Strangers On This Road We Are On: A Literature Review of Pooling in On-Demand Mobility Services","Transportation Research Record","","0361-1981","10.1177/03611981221123801","https://doi.org/10.1177/03611981221123801","Ridepooling service options introduced by transportation network companies (TNCs) and microtransit companies provide opportunities to increase shared-ride trips in vehicles, thereby improving congestion and environmental factors. This paper reviews the existing literature available on ridepooling and related services, specifically focusing on pooling options available from on-demand transportation companies. The paper summarizes the existing knowledge on the use of pooled-ride services, factors in travel mode service options for customers, available policy and planning strategies to incentivize sharing vehicles, and effects of the COVID-19 pandemic on shared-ride travel. Overall, research shows that ridepooling options are more likely to be considered by public transit users who have lower household incomes, while ridesourcing users of upper-class backgrounds are less likely to consider moving to a shared-ride service. Travel time and trip cost are the most important factors for travelers determining whether to use a ridesplitting or microtransit service rather than a ride-alone ridesourced trip. Existing policy and planning tools targeting pooled travel or TNCs can be expanded on and specified for on-demand ridepooling services, such as offering better incentives to use shared vehicles and increased access to curb areas or travel lanes, but the most effective strategies will include increasing the user costs for parking or riding alone.","2023-03-01","2025-08-14 10:17:23","2025-08-14 10:17:23","2025-08-14 10:17:23","1368-1381","","3","2677","","","Strangers On This Road We Are On","","","","","","","EN","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/alexanderklaus/Zotero/storage/WEXKQ5RA/Hansen und Sener - 2023 - Strangers On This Road We Are On A Literature Review of Pooling in On-Demand Mobility Services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6AEZX4QT","journalArticle","2022","Zwick, Felix; Axhausen, Kay W.","Ride-pooling demand prediction: A spatiotemporal assessment in Germany","Journal of Transport Geography","","09666923","10.1016/j.jtrangeo.2022.103307","https://linkinghub.elsevier.com/retrieve/pii/S0966692322000308","Ride-pooling has attracted considerable attention from both academia and practitioners in recent years, promising to reduce traffic volumes and its negative impacts in urban areas. Simulation studies have shown that largescale ride-pooling has the potential to increase vehicle utilization, thereby reducing vehicle kilometers traveled (VKT) and required fleet sizes compared to single-passenger mobility options. However, in the real world, largescale ride-pooling services are rare and not yet widely implemented, in part due to high operating costs that are expected to decrease substantially with the advent of automated vehicles.","2022-04","2025-08-14 10:19:54","2025-08-14 10:19:54","2025-08-14 10:19:54","103307","","","100","","Journal of Transport Geography","Ride-pooling demand prediction","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/5Y89AN67/Zwick und Axhausen - 2022 - Ride-pooling demand prediction A spatiotemporal assessment in Germany.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GG5TTJCL","preprint","2023","Engelhardt, Roman; Mahmassani, Hani S.; Bogenberger, Klaus","Predictive Vehicle Repositioning for On-Demand Ride-Pooling Services","","","","10.48550/arXiv.2308.05507","http://arxiv.org/abs/2308.05507","On-Demand Ride-Pooling services have the potential to increase traffic efficiency compared to private vehicle trips by decreasing parking space needed and increasing vehicle occupancy due to higher vehicle utilization and shared trips, respectively. Thereby, an operator controls a fleet of vehicles that serve requested trips on-demand while trips can be shared. In this highly dynamic and stochastic setting, asymmetric spatio-temporal request distributions can drive the system towards an imbalance between demand and supply when vehicles end up in regions with low demand. This imbalance would lead to low fleet utilization and high customer waiting times. This study proposes a novel rebalancing algorithm to predictively reposition idle fleet vehicles to reduce this imbalance. The algorithm first samples artificial requests from a predicted demand distribution and simulates future fleet states to identify supply shortages. An assignment problem is formulated that assigns repositioning trips considering multiple samples and forecast horizons. The algorithm is implemented in an agent-based simulation framework and compared to multiple state-of-the-art rebalancing algorithms. A case study for Chicago, Illinois shows the benefits of applying the repositioning strategy by increasing service rate and vehicle revenue hours by roughly 50% compared to a service without repositioning. It additionally outperforms all comparison algorithms by serving more customers, increasing the pooling efficiency and decreasing customer waiting time regardless of the forecasting method applied. As a trade-off, the computational time increases, but with a termination within a couple of seconds it is still applicable for large-scale real world instances.","2023-08-10","2025-08-14 10:24:23","2025-08-14 10:24:23","2025-08-14 10:24:23","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2308.05507 [eess]","","/Users/alexanderklaus/Zotero/storage/G4AIHB2E/Engelhardt et al. - 2023 - Predictive Vehicle Repositioning for On-Demand Ride-Pooling Services.pdf","","","Computer Science - Systems and Control; Electrical Engineering and Systems Science - Systems and Control","","","","","","","","","","","","","","","","","","","arXiv:2308.05507","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QR8AVW5W","journalArticle","2023","de Ruijter, Arjan; Cats, Oded; Alonso-Mora, Javier; Hoogendoorn, Serge","Ride-pooling adoption, efficiency and level of service under alternative demand, behavioural and pricing settings","Transportation Planning and Technology","","0308-1060","10.1080/03081060.2023.2194874","https://doi.org/10.1080/03081060.2023.2194874","Previous studies into the potential benefits of ride pooling failed to account for the trade-off that users likely make when considering a shared ride. We address this shortcoming by formulating user net benefit stemming from pooling as a compensatory function where the additional travel time and on-board discomfort need to be compensated by the price discount for a traveller to choose a pooled ride over a private ride. The proposed formulation is embedded in a method for matching travel requests and vehicles. We conduct a series of experiments investigating how the potential of ride-pooling services depends on demand characteristics, user preferences and the pricing policy adopted by the service provider. Our results suggest that the total vehicle mileage savings found by previous studies is only attainable when users are very willing to share their ride (i.e. attach low premium to private rides) and are offered a 50% discount for doing so.","2023-05-19","2025-08-14 10:29:09","2025-08-14 10:29:09","2025-08-14 10:29:09","407-436","","4","46","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/03081060.2023.2194874","","/Users/alexanderklaus/Zotero/storage/3DVDDJWC/de Ruijter et al. - 2023 - Ride-pooling adoption, efficiency and level of service under alternative demand, behavioural and pri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIDTJPDS","journalArticle","2024","Soza-Parra, Jaime; Kucharski, Rafał; Cats, Oded","The shareability potential of ride-pooling under alternative spatial demand patterns","Transportmetrica A: Transport Science","","2324-9935","10.1080/23249935.2022.2140022","https://doi.org/10.1080/23249935.2022.2140022","In In this study, we set out to explore how various spatial patterns of travel demand drive the effectiveness of ride-pooling services. To do so, we generate a broad range of synthetic, yet plausible demand patterns. We experiment with the number of attraction centres, the dispersion of destinations around these centres, and the trip length distribution. We apply a strategic ride-pooling algorithm across the generated demand patterns to identify shareability potential using a series of metrics related to ridepooling. Our findings indicate that, under a fixed demand level, vehicle-hour reduction due to ride-pooling can range between 18 and 59%. These results depend on the concentration of travel destinations around the centre and the trip length distribution. Ride-pooling becomes more efficient when trips are longer and destinations are more concentrated. A shift from a monocentric to a polycentric demand pattern is found to have a limited impact on the prospects of ride-pooling.","2024-05-03","2025-08-14 10:31:10","2025-08-14 10:31:10","2025-08-14 10:31:10","2140022","","2","20","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/23249935.2022.2140022","","/Users/alexanderklaus/Zotero/storage/FDTM4STE/Soza-Parra et al. - 2024 - The shareability potential of ride-pooling under alternative spatial demand patterns.pdf","","","Travel demand; Shared mobility; Ride-hailing; Ride-pooling; Shareability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ET3LG8MW","journalArticle","2020","Zwick, Felix; Axhausen, Kay W.","Analysis of ridepooling strategies with MATSim","","","","10.3929/ETHZ-B-000420103","http://hdl.handle.net/20.500.11850/420103","Emerging ridepooling services promise to improve existing mobility systems and increase eﬃciency in road traﬃc. Private mobility companies and policymakers strive to ﬁnd the right design of such services to meet customer needs and reduce traﬃc in urban areas. In order to analyse the eﬀects of ridepooling systems and to predict implications, the agent-based simulation framework MATSim oﬀers two extensions for the simulation of on-demand pooling services. Both use dynamic vehicle routing, but the interaction between service and customers on the one hand, and the pooling strategies on the other hand, diﬀer. These diﬀerences between both extensions, their characteristics and the eﬀects on service eﬃciency are pointed out here. The results show the inﬂuence of diﬀerent pooling strategies on eﬃciency, mileage, mean travel and waiting times of the system. While the AMoD system generally leads to better results in high-demand scenarios, the DRT system has advantages in low-demand scenarios due to a predictive rebalancing system based on historical demand. The MATSim simulations are derived from demand data of a ridepooling company in Hamburg, Germany.","2020-05","2025-08-14 10:42:46","2025-08-14 10:42:46","2025-08-14 10:42:46","15 p.","","","","","","","","","","","","","en","http://rightsstatements.org/page/InC-NC/1.0/, info:eu-repo/semantics/openAccess","","","","DOI.org (Datacite)","","Artwork Size: 15 p. Medium: application/pdf Publisher: ETH Zurich","","/Users/alexanderklaus/Zotero/storage/QUUL2Q7D/Zwick und Axhausen - 2020 - Analysis of ridepooling strategies with MATSim.pdf","","","On-demand mobility; Ridepooling; Demand responsive transport; MATSim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y66GIRT6","journalArticle","2015","Stiglic, Mitja; Agatz, Niels; Savelsbergh, Martin; Gradisar, Mirko","The benefits of meeting points in ride-sharing systems","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2015.07.025","https://linkinghub.elsevier.com/retrieve/pii/S0191261515002088","We investigate the potential beneﬁts of introducing meeting points in a ride-sharing system. With meeting points, riders can be picked up and dropped off either at their origin and destination or at a meeting point that is within a certain distance from their origin or destination. The increased ﬂexibility results in additional feasible matches between drivers and riders, and allows a driver to be matched with multiple riders without increasing the number of stops the driver needs to make. We design and implement an algorithm that optimally matches drivers and riders in large-scale ride-sharing systems with meeting points. We perform an extensive simulation study to assess the beneﬁts of meeting points. The results demonstrate that meeting points can signiﬁcantly increase the number of matched participants as well as the system-wide driving distance savings in a ride-sharing system.","2015-12","2025-08-14 10:46:22","2025-08-14 10:46:22","2025-08-14 10:46:22","36-53","","","82","","Transportation Research Part B: Methodological","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/HYFFABKV/Stiglic et al. - 2015 - The benefits of meeting points in ride-sharing systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
