"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N5GQR6FG","journalArticle","2022","Zuniga-Garcia, Natalia; Gurumurthy, Krishna Murthy; Yahia, Cesar N.; Kockelman, Kara M.; Machemehl, Randy B.","Integrating shared mobility services with public transit in areas of low demand","Journal of Public Transportation","","1077291X","10.1016/j.jpubtr.2022.100032","https://linkinghub.elsevier.com/retrieve/pii/S1077291X22000327","The increasing demand for shared mobility services has led to multiple Public-Private Partnerships (PPP), where public transit agencies and mobility providers work together to increase transit service coverage. However, several partnerships have failed due to budget constraints and lack of ridership. Furthermore, the limited datasharing agreements restrict the analysis and dissemination of outcomes. This paper analyzes the integration of shared-mobility services into the public transit system using data from pilot programs in Austin, Texas. The use of Transportation Network Companies (TNCs) and microtransit service is evaluated as first-mile-last-mile (FMLM) and door-to-door solutions. The associated TNC, microtransit, and bus transit demand are analyzed using ridership data, and the trip characteristics are discussed and compared. Then, after controlling for confounding variables through matching, a difference-in-differences (DID) model is used to infer the effect of microtransit on bus transit demand. Specifically, by evaluating bus ridership before and after implementing the microtransit program, the DID model estimates the change in bus demand attributed to microtransit. The results suggest that the TNC services, focusing only on FMLM, were not as popular as microtransit services offering FMLM and intrazonal trips. Even though the microtransit trips were longer and, in some cases, the driver response times were higher than for TNC trips. Also, the DID model demonstrates that the microtransit service did not substantially impact the bus transit ridership, suggesting that the trips were mainly used for intrazonal doorto-door trips and not for FMLM trips. A further discussion highlights the need for performance metrics beyond demand and costs to capture the benefits of these partnerships for improving mobility, safety, and customer experience.","2022","2025-08-12 15:48:19","2025-08-12 15:48:19","2025-08-12 15:48:19","100032","","","24","","Journal of Public Transportation","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/TAI36AIR/Zuniga-Garcia et al. - 2022 - Integrating shared mobility services with public transit in areas of low demand.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMIK9BBT","journalArticle","2022","Schaefer, Cindy; Stelter, Aida; Holl-Supra, Sonja; Weber, Stephan; Niehaves, Björn","The Acceptance and Use Behavior of Shared Mobility Services in a Rural Municipality","Smart Cities","","2624-6511","10.3390/smartcities5040062","https://www.mdpi.com/2624-6511/5/4/62","In rural regions, needs-based mobility services play an important role in the provision of public services. Shared Mobility Services can optimally complement local public transportation such as buses and trains, even in rural regions, and support the transformation of transportation. There is already research on Shared Mobility Services in the literature, but there is no comparison between all of Germany-wide and a specific municipality. We were interested in learning to what extent there is acceptance among citizens and what their usage behavior is towards such new alternatives. We also aimed to find out whether there are differences between large cities and rural regions and to what extent they differ from each other. In this case study, interplay was demonstrated using the example of a funded Smart City mobility project in a German rural municipality. The objective was to show whether the potential exists to initiate traffic turnaround with the help of Shared Mobility Services. In a quantitative survey of 418 German citizens, 114 of them from the rural municipality, the acceptance and usage behavior of Shared Mobility Services (in the form of car, bike and e-scooter sharing) was investigated. The results show that participants are very interested in Shared Mobility Services and have already gained initial experience with such services. However, there is still a lack of comprehensive services; for instance, the demand for car sharing is still too low, as many citizens still own a private vehicle. Our results show that citizens are too little informed about Shared Mobility Services and that these services need to be advertised much more strongly and clearly, both in analog and digitally. Our study shows that traffic turnaround can be achieved and that many citizens can imagine greater use of Shared Mobility Services in their everyday lives in the future. However, for this to happen, the necessary infrastructure must be in place in rural regions, and local authorities must motivate citizens with sufficient educational work about what is on offer and how to use it.","2022-12","2025-08-12 15:49:16","2025-08-12 15:49:16","2025-08-12 15:49:16","1229-1240","","4","5","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Publisher: Multidisciplinary Digital Publishing Institute","","/Users/alexanderklaus/Zotero/storage/89SLJ4GB/Schaefer et al. - 2022 - The Acceptance and Use Behavior of Shared Mobility Services in a Rural Municipality.pdf","","","shared mobility; acceptance; municipality; rural; travel behavior; UTAUT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCLU4648","conferencePaper","2021","Truden, Christian; Ruthmair, Mario; Kollingbaum, Martin J.","Analysis of Schedules for Rural First and Last Mile Microtransit Services","Computational Logistics","978-3-030-87672-2","","10.1007/978-3-030-87672-2_22","","Low and infrequent demand in rural areas poses a problem for public transport providers to run cost-effective services and individual car use is usually the main means of transportation. We investigate how microtransit services can be integrated with existing public transport solutions (bus, train) as a flexible shared mobility alternative in rural areas and how to make them attractive alternatives to individual car use. We combine large neighborhood search with agent-based modeling and simulation to validate generated schedules for a microtransit service in terms of vulnerability to tardiness in passenger behavior or service provision. This includes the study of how disturbances, such as delays in service provision or late arrivals of passengers affect the stability of a transport schedule concerning a reliable timely delivery to transfer stops. We explore how simulation can be utilized as a means to fine-tune provider policies, e.g., how long vehicles may wait for late passengers before they depart.","2021","2025-08-12 15:52:47","2025-08-12 15:52:47","","332-346","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/FH6HRFP4/Truden et al. - 2021 - Analysis of Schedules for Rural First and Last Mile Microtransit Services.pdf","","","Mobility; Agent-based simulation; Ride-sharing","Mes, Martijn; Lalla-Ruiz, Eduardo; Voß, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJIW8CUW","journalArticle","2021","Sörensen, Leif; Bossert, Andreas; Jokinen, Jani-Pekka; Schlüter, Jan","How much flexibility does rural public transport need? – Implications from a fully flexible DRT system","Transport Policy","","0967070X","10.1016/j.tranpol.2020.09.005","https://linkinghub.elsevier.com/retrieve/pii/S0967070X19309709","Rural regions in industrialised countries are facing problems in public transport (PT) provision against the backdrop of demographic change, urbanisation and austerity policies. However, innovative mobility concepts evolve under technological developments. Demand responsive transport (DRT) has been identified in research to meet the challenges and efficiently improve mobility through the concept of ride-pooling. Still, most of these DRT services are being investigated in urban settings with high mobility demand and population density. Research on low-demand regions, such as the Oberharz in Germany, is rarely considered. Moreover, the applied DRT services come with several restrictions regarding stop locations, customer target groups or spatial restrictions. Therefore, this paper fills this gap through spatial and temporal analysis of a real-life, fully flexible and true door-to-door DRT experiment. Over a 6-months period around 38,000 trips took place in the Oberharz. The analysis of these trips shows that an unrestricted DRT service between three main centres (Goslar, Clausthal-Zellerfeld and Osterode) results in main travel axes between these cities while the more remote areas forfeit mobility to these centres of public service provision. Consequently, a feeder-trunk system should be favoured for future DRT services in low-demand areas to sustainably improve mobility in remote regions. The complementary extension of the existing PT through such a DRT service should then meet mobility needs of rural areas to redeem car dependency and improve mobility for all population groups.","2021-01","2025-08-14 07:17:44","2025-08-14 07:17:44","2025-08-14 07:17:44","5-20","","","100","","Transport Policy","How much flexibility does rural public transport need?","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/NXFHUITW/Sörensen et al. - 2021 - How much flexibility does rural public transport need – Implications from a fully flexible DRT syst.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIEAZWWL","journalArticle","2022","Poltimäe, Helen; Rehema, Merlin; Raun, Janika; Poom, Age","In search of sustainable and inclusive mobility solutions for rural areas","European Transport Research Review","","1866-8887","10.1186/s12544-022-00536-3","https://doi.org/10.1186/s12544-022-00536-3","Despite emerging research on novel mobility solutions in urban areas, there have been few attempts to explore the relevance and sustainability of these solutions in rural contexts. Furthermore, existing research addressing rural mobility solutions typically focuses on a specific user group, such as local residents, second-home owners, or tourists. In this paper, we study the social inclusivity, economic viability, and environmental impacts of novel mobility solutions in rural contexts based on published scholarly literature. When doing so, we bring both permanent and temporary residents of rural areas under one research framework.","2022-04-06","2025-08-14 07:21:09","2025-08-14 07:21:09","2025-08-14 07:21:09","13","","1","14","","Eur. Transp. Res. Rev.","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/96S9ISHM/Poltimäe et al. - 2022 - In search of sustainable and inclusive mobility solutions for rural areas.pdf","","","Public transport; Shared mobility; Demand-responsive transport; Permanent residents; Rural mobility; Sustainable mobility solutions; Temporary residents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYNA7S7Y","journalArticle","2021","Ruch, Claudio; Lu, Chengqi; Sieber, Lukas; Frazzoli, Emilio","Quantifying the Efficiency of Ride Sharing","IEEE Transactions on Intelligent Transportation Systems","","1558-0016","10.1109/TITS.2020.2990202","https://ieeexplore.ieee.org/document/9089254/","In unit-capacity mobility-on-demand systems, the vehicles transport only one travel party at a time, whereas in ride-sharing mobility-on-demand systems, a vehicle may transport different travel parties at the same time, e.g., if paths are partially overlapping. One potential benefit of ride sharing is increased system efficiency. However, it is not clear what the trade-offs are between the efficiency gains and the reduction in quality of service. To quantify those trade-offs, an open-source simulation environment is introduced, which is capable of evaluating a large class of operational policies for ride-sharing mobility-on-demand systems. The impact of ride sharing on efficiency and service level is assessed for several benchmark operational policies from the literature and for different transportation scenarios: first a dense urban scenario, then a line-shaped, rural one. Based on the results of these case studies, we find that the efficiency gains in ride sharing are relatively small and potentially hard to justify against quality of service concerns such as reduced convenience, loss of privacy, and higher total travel and drive times. Furthermore, in the assessed scenarios, the relatively low occupancy of the vehicles suggests that smaller vehicles with 4–6 seats, able to handle occasional ride sharing, may be preferable to larger and more expensive vehicles such as minibuses.","2021-09","2025-08-14 07:30:18","2025-08-14 07:30:18","2025-08-14 07:30:18","5811-5816","","9","22","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/alexanderklaus/Zotero/storage/PFBQF9I8/Ruch et al. - 2021 - Quantifying the Efficiency of Ride Sharing.pdf","","","Vehicle dynamics; Public transportation; Urban areas; Benchmark testing; mobility on demand; operational policies; Quality of service; Ride sharing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q9DMZXXS","journalArticle","2021","Kaddoura, Ihab; Schlenther, Tilmann","The impact of trip density on the fleet size and pooling rate of ride-hailing services: A simulation study","Procedia Computer Science","","18770509","10.1016/j.procs.2021.03.084","https://linkinghub.elsevier.com/retrieve/pii/S1877050921007213","App-based ride-hailing services have expanded rapidly in recent years. In this study, simulation experiments are carried out for two regions in Germany: the metropolitan Berlin area and the rural area of the district Vulkaneifel (Volcanic Eifel). Transport users’ travel behavior is ﬁxed and the operator is enabled to adjust the ride-hailing vehicle ﬂeet size to keep 90% of all waiting times below 10 minutes. The results show that the trip density has a major impact on the required ride-hailing ﬂeet size as well as the resulting service (e.g. operation hours, vehicle-kilometers and pooling rate). The simulation results reveal a nonlinear relationship of trip density and ride-hailing service parameters. A linear upscaling of simulation results for a small population sample may yield an overestimation of the ﬂeet size, operating hours and vehicle kilometers. For low trip densities, the eﬀect of pooling (ride-sharing) is disproportionately smaller compared to larger trip densities.","2021","2025-08-14 08:06:59","2025-08-14 08:06:59","2025-08-14 08:06:59","674-679","","","184","","Procedia Computer Science","The impact of trip density on the fleet size and pooling rate of ride-hailing services","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/28B572SP/Kaddoura und Schlenther - 2021 - The impact of trip density on the fleet size and pooling rate of ride-hailing services A simulation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXNI6XQM","journalArticle","2018","Schröder, Lisa; Flägel, Kristina; Goetz, Katja; Steinhäuser, Jost","Mobility concepts and access to health care in a rural district in Germany: A mixed methods approach","BMC Family Practice","","1471-2296","10.1186/s12875-018-0733-6","","Background: Western countries are facing the challenges of an imminent shortage of physicians, especially general practitioners. As a consequence longer travel times to doctors' practices may arise. This study aimed to investigate the mobility behavior of a rural population in terms of medical consultations. Methods: An exploratory mixed-methods design was conducted in the Waldshut district of the federal state Baden-Württemberg in Germany. Focus groups and a single telephone-interview with representatives, occupationally affiliated with mobility in the district (e.g. representatives of public transport, nursing-services or the District Office Waldshut), were performed in 2016 and analyzed using Mayring's structuring content analysis. A questionnaire based on the collected qualitative data was subsequently distributed to a random sample of 1000 adult inhabitants living in the Waldshut district. Quantitative data were analyzed employing descriptive statistics. Results: Qualitatively, four focus groups and one single telephone-interview with a total of 20 participants were performed. Therein the necessity of reaching a nearby general practitioner and the importance of individual motor traffic was emphasized. Novel mobility modes of ride sharing and telemedicine were controversially discussed as future transport and consultation options, respectively. Quantitatively, 277 questionnaires (27.7%) were valid and included in our analysis. Mean age was 51 years (SD = 18.5) and 58% (n = 160) were female. Irrespective of the mode of transport 60% (n = 166) expected to reach their general practitioner within 15 min. Using the possibility of multiple answers 47% (n = 192) stated to use a car in order to reach their general practitioner, public transport was used by 5% (n = 19). Nearly 80% (n = 220) could imagine sharing a car with well-known persons for consultations. Turning to a general practitioner via telemedicine was imaginable for 32% (n = 91). Conclusions: Individual motor car traffic seems to be an important factor in providing accessibility to rural medical care. As a supplementation, web based ride sharing has economic and structural potential for reaching a doctor's practice. However, familiarity and trustworthiness need to be guaranteed within this flexible transport mode. Furthermore, telemedicine may be a future approach in order to reduce travel time to a doctor's practice. © 2018 The Author(s).","2018","2025-08-14 08:09:42","2025-08-14 08:09:42","","","","1","19","","BMC Fam. Pract.","Mobility concepts and access to health care in a rural district in Germany","","","","","","","English","","","","","Scopus","","Publisher: BioMed Central Ltd.","","/Users/alexanderklaus/Zotero/storage/BSVZ72DY/85046395309.html; /Users/alexanderklaus/Zotero/storage/BS33SNX4/Schröder et al. - 2018 - Mobility concepts and access to health care in a rural district in Germany A mixed methods approach.pdf","","","Mobility; Germany; Mixed methods; Primary health care; Rural health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFXKAIRU","journalArticle","2023","Fielbaum, Andrés; Tirachini, Alejandro; Alonso-Mora, Javier","Economies and diseconomies of scale in on-demand ridepooling systems","Economics of Transportation","","22120122","10.1016/j.ecotra.2023.100313","https://linkinghub.elsevier.com/retrieve/pii/S2212012223000138","We analyse the sources of economies and diseconomies of scale in On-Demand Ridepooling (ODRP), disentangling three effects: when demand grows, average costs are reduced due to i) a larger fleet that diminishes waiting and walking times (Mohring Effect), and ii) matching users with more similar routes (Better-matching Effect). A counter-balance force (Extra-detour Effect), occurs when iii) the number of passengers per vehicle increases and users face longer detours. At low demand levels, there is little sharing and the Mohring effect prevails; as demand grows, more passengers per vehicle push for the Extra-detour Effect to dominate; eventually, vehicles run at capacity, and the Better-matching Effect prevails. The last two effects are specific to ODRP as the routes are not fixed but adapted online. Our simulations show that considering both users’ and operators’ costs, scale economies prevail, and that ODRP with human-driven vehicles and walks allowed has total costs similar to door-to-door systems with driverless vehicles.","2023-06","2025-08-14 08:14:12","2025-08-14 08:14:12","2025-08-14 08:14:12","100313","","","34","","Economics of Transportation","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/5S5Y4DSV/Fielbaum et al. - 2023 - Economies and diseconomies of scale in on-demand ridepooling systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68YBE9RL","journalArticle","2021","Yu, Xiao; Miao, Huimin; Bayram, Armagan; Yu, Meigui; Chen, Xi","Optimal routing of multimodal mobility systems with ride-sharing","International Transactions in Operational Research","","1475-3995","10.1111/itor.12870","https://onlinelibrary.wiley.com/doi/abs/10.1111/itor.12870","Multimodal transportation systems are a combination of more environmentally friendly shared transport modes including public transport, ride-sharing, shuttle-sharing, or even completely carbon-free modes such as cycling to better meet customer needs. Multimodal mobility solutions are expected to contribute in mitigating traffic congestion and carbon emissions, and to result in savings in costs. They are also expected to improve access to transportation, more specifically for those in rural or low-populated communities (i.e., difficult to serve by public transportation only). Motivated by its benefits, in this study, we consider the combination of the ride-sharing and public transportation services and formulate a mixed integer programming model for the multimodal transportation planning problem. We propose a heuristic approach (i.e., angle-based clustering [AC] algorithm) and compare its efficiency with the exact solution for different settings. We find that the AC algorithm works well in both small and large settings. We further show that the multimodal transportation system with ride-sharing can yield significant benefits on travel distances and travel times.","2021","2025-08-14 08:29:43","2025-08-14 08:29:43","2025-08-14 08:29:43","1164-1189","","3","28","","","","","","","","","","en","© 2020 The Authors. International Transactions in Operational Research © 2020 International Federation of Operational Research Societies","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/itor.12870","","/Users/alexanderklaus/Zotero/storage/WPCL892M/itor.html; /Users/alexanderklaus/Zotero/storage/DW2VPXHJ/Yu et al. - 2021 - Optimal routing of multimodal mobility systems with ride-sharing.pdf","","","vehicle routing; mobility; multimodal transportation; ride-sharing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
