"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RQ64R8VG","journalArticle","2020","Liang, Xiao; Correia, Gonçalo Homem De Almeida; An, Kun; Van Arem, Bart","Automated taxis’ dial-a-ride problem with ride-sharing considering congestion-based dynamic travel times","Transportation Research Part C: Emerging Technologies","","0968090X","10.1016/j.trc.2020.01.024","https://linkinghub.elsevier.com/retrieve/pii/S0968090X19304048","In this paper, we study the dial-a-ride problem of ride-sharing automated taxis (ATs) in an urban road network, considering the traffic congestion caused by the ATs. This shared automated mobility system is expected to provide a seamless door-to-door service for urban travellers, much like what the existing transportation network companies (TNC) do, but with decreased labour cost and more flexible relocation operations due to the vehicles’ automation. We propose an integer non-linear programming (INLP) model that optimizes the routing of the ATs to maximize the system profit, depending on dynamic travel times, which are a non-linear function of the ATs’ flows. It is important to involve traffic congestion in such a routing problem since for a growing number of ATs circulating in the city their number will lead to delays. The model is embedded within a rolling horizon framework, which divides a typical day into several horizons to deal with the real-time travel demand. In each horizon, the routing model is solved with the demand at that interval and assuring the continuity of the trips between horizons. Nevertheless, each horizon model is hard to solve given its number of constraints and decision variables. Therefore, we propose a solution approach based on a customized Lagrangian relaxation algorithm, which allows identifying a near-optimal solution for this difficult problem. Numerical experiments for the city of Delft, The Netherlands, are used to demonstrate the solution quality of the proposed algorithm as well as obtaining insights about the AT system performance. Results show that the solution algorithm can solve the proposed model for hard instances. Ride-sharing makes the AT system more capable to provide better service regarding delay time and the number of requests that can be attended by the system. The delay penalty on the profit objective function is an effective control parameter on guaranteeing the service quality while maintaining system profitability.","2020-03","2025-08-14 14:34:05","2025-08-14 14:34:05","2025-08-14 14:34:05","260-281","","","112","","Transportation Research Part C: Emerging Technologies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/E6DNYHAC/Liang et al. - 2020 - Automated taxis’ dial-a-ride problem with ride-sharing considering congestion-based dynamic travel t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BS53RDK2","journalArticle","2017","Molenbruch, Yves; Braekers, Kris; Caris, An","Typology and literature review for dial-a-ride problems","Annals of Operations Research","","1572-9338","10.1007/s10479-017-2525-0","https://doi.org/10.1007/s10479-017-2525-0","Dial-a-ride problems consist of designing vehicle routes and time schedules in a system of demand-dependent, collective people transportation. In the standard problem, operational costs are minimized, subject to full demand satisfaction and service level requirements. However, to enhance the practical applicability of solution methods, authors increasingly focus on problem variants that adopt additional real-life characteristics. First, this work introduces an up-to-date classification that distinguishes multiple categories of real-life characteristics. Second, the wide range of solution methods proposed in the literature is reviewed in a structured manner. Although the existing literature is reviewed exhaustively, specific attention is devoted to recent developments. Third, an extensive overview table provides full details on all problem characteristics and solution methods applied in each paper discussed. Fourth, lacunae in research conducted to date and opportunities for future work are identified.","2017-12-01","2025-08-14 17:07:09","2025-08-14 17:07:09","2025-08-14 17:07:09","295-325","","1","259","","Ann Oper Res","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/Z6TPKVX8/Molenbruch et al. - 2017 - Typology and literature review for dial-a-ride problems.pdf","","","Demand-responsive transportation; Dial-a-ride; Literature review; Patient transportation; Real-life characteristics; Rich vehicle routing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TASE2QN","journalArticle","2017","Posada, Marcus; Andersson, Henrik; Häll, Carl H.","The integrated dial-a-ride problem with timetabled fixed route service","Public Transport","","1613-7159","10.1007/s12469-016-0128-9","https://doi.org/10.1007/s12469-016-0128-9","This paper concerns operational planning of door-to-door transportation systems for the elderly and/or disabled, who often need a more flexible transportation system than the rest of the population. Highly flexible, but very costly direct transportation is often offered as a complement to standard fixed route public transport service. In the integrated dial-a-ride problem (IDARP), these modes of transport are combined and certain legs of the passengers journeys may be performed with the fixed route public transport system. We extend the IDARP and include timetables for the fixed route services, forcing the fleet of vehicles to schedule the arrival at transfer locations with care. Two mixed integer linear programming formulations of the integrated dial-a-ride problem with timetables are presented and analyzed. The key modeling challenge is that of the transfers between the fleet of vehicles and the fixed route public transport system. The formulations differ in how the transfers are modeled and the differences are thoroughly discussed. The computational study compares the formulations in terms of network size, computational time and memory usage and conclusions about their performances are drawn.","2017-07-01","2025-08-14 17:23:04","2025-08-14 17:23:04","2025-08-14 17:23:04","217-241","","1","9","","Public Transp","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/3KDV354L/Posada et al. - 2017 - The integrated dial-a-ride problem with timetabled fixed route service.pdf","","","Cost effectiveness; Dial-a-ride; Mobility; Multimodal transport; Operational planning; Optimization; Paratransit; Public transport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXATBCJP","journalArticle","2018","Ho, Sin C.; Szeto, W.Y.; Kuo, Yong-Hong; Leung, Janny M.Y.; Petering, Matthew; Tou, Terence W.H.","A survey of dial-a-ride problems: Literature review and recent developments","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2018.02.001","https://linkinghub.elsevier.com/retrieve/pii/S0191261517304484","There has been a resurgence of interest in demand-responsive shared-ride systems, motivated by concerns for the environment and also new developments in technologies which enable new modes of operations. This paper surveys the research developments on the Dial-A-Ride Problem (DARP) since 2007. We provide a classiﬁcation of the problem variants and the solution methodologies, and references to benchmark instances. We also present some application areas for the DARP, discuss some future trends and challenges, and indicate some possible directions for future research.","2018-05","2025-08-16 13:46:52","2025-08-16 13:46:52","2025-08-16 13:46:52","395-421","","","111","","Transportation Research Part B: Methodological","A survey of dial-a-ride problems","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/EB7F8KAC/Ho et al. - 2018 - A survey of dial-a-ride problems Literature review and recent developments.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZPXPQ8U","journalArticle","2018","Masmoudi, Mohamed Amine; Hosny, Manar; Demir, Emrah; Genikomsakis, Konstantinos N.; Cheikhrouhou, Naoufel","The dial-a-ride problem with electric vehicles and battery swapping stations","Transportation Research Part E: Logistics and Transportation Review","","13665545","10.1016/j.tre.2018.08.005","https://linkinghub.elsevier.com/retrieve/pii/S1366554517310086","The Dial-a-Ride Problem (DARP) consists of designing vehicle routes and schedules for customers with special needs and/or disabilities. The DARP with Electric Vehicles and battery swapping stations (DARP-EV) concerns scheduling a ﬂeet of EVs to serve a set of pre-speciﬁed transport requests during a certain planning horizon. In addition, EVs can be recharged by swapping their batteries with charged ones from any battery-swap stations. We propose three enhanced Evolutionary Variable Neighborhood Search (EVO-VNS) algorithms to solve the DARP-EV. Extensive computational experiments highlight the relevance of the problem and conﬁrm the eﬃciency of the proposed EVO-VNS algorithms in producing high quality solutions.","2018-10","2025-08-16 13:47:41","2025-08-16 13:47:41","2025-08-16 13:47:41","392-420","","","118","","Transportation Research Part E: Logistics and Transportation Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/G729RITU/Masmoudi et al. - 2018 - The dial-a-ride problem with electric vehicles and battery swapping stations.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZF4BC88","journalArticle","2019","Bongiovanni, Claudia; Kaspi, Mor; Geroliminis, Nikolas","The electric autonomous dial-a-ride problem","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2019.03.004","https://linkinghub.elsevier.com/retrieve/pii/S0191261517309669","In the Dial-a-Ride-Problem (DARP) a ﬂeet of vehicles provides shared-ride services to users specifying their origin, destination, and preferred arrival time. Typically, the problem consists of ﬁnding minimum cost routes, satisfying operational constraints such as timewindows, origin-destination precedences, user maximum ride-times, and vehicle maximum route-durations. This paper presents a problem variant for the DARP which considers the use of electric autonomous vehicles (e-ADARP). The problem covers battery management, detours to charging stations, recharge times, and selection of destination depots, along with classic DARP features. The goal of the problem is to minimize a weighted objective function consisting of the total travel time of all vehicles and excess ride-time of the users. We formulate the problem as a 3-index and a 2-index mixed-integer-linear program and devise a branch-and-cut algorithm with new valid inequalities derived from eADARP properties. Computational experiments are performed on adapted benchmark instances from DARP literature and on instances based on real data from Uber Technologies Inc. Instances with up to 5 vehicles and 40 requests are solved to optimality.","2019-04","2025-08-16 13:47:55","2025-08-16 13:47:55","2025-08-16 13:47:55","436-456","","","122","","Transportation Research Part B: Methodological","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/KYRZ4IG6/Bongiovanni et al. - 2019 - The electric autonomous dial-a-ride problem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JJDQSUH8","journalArticle","2018","Sayarshad, Hamid R.; Oliver Gao, H.","A scalable non-myopic dynamic dial-a-ride and pricing problem for competitive on-demand mobility systems","Transportation Research Part C: Emerging Technologies","","0968090X","10.1016/j.trc.2018.04.007","https://linkinghub.elsevier.com/retrieve/pii/S0968090X18304637","We propose a competitive on-demand mobility model using a multi-server queue system under inﬁnite-horizon look-ahead. The proposed approach includes a novel dynamic optimization algorithm which employs a Markov decision process (MDP) and provides opportunities to revolutionize conventional transit services that are plagued by high cost, low ridership, and general ineﬃciency, particularly in disadvantaged communities and low-income areas. We use this model to study the implications it has for such services and investigate whether it has a distinct cost advantage and operational improvement. We develop a dynamic pricing scheme that utilizes a balking rule that incorporates socially eﬃcient level and the revenue-maximizing price, and an equilibrium-joining threshold obtained by imposing a toll on the customers who join the system. Results of numerical simulations based on actual New York City taxicab data indicate that a competitive on-demand mobility system supported by the proposed model increases the social welfare by up to 37% on average compared to the single-server queuing system. The study oﬀers a novel design scheme and supporting tools for more eﬀective budget/resource allocation, planning, and operation management of ﬂexible transit systems.","2018-06","2025-08-16 13:48:08","2025-08-16 13:48:08","2025-08-16 13:48:08","192-208","","","91","","Transportation Research Part C: Emerging Technologies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/MCNZSS8V/Sayarshad und Oliver Gao - 2018 - A scalable non-myopic dynamic dial-a-ride and pricing problem for competitive on-demand mobility sys.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8GMJD79","journalArticle","2018","Tellez, Oscar; Vercraene, Samuel; Lehuédé, Fabien; Péton, Olivier; Monteiro, Thibaud","The fleet size and mix dial-a-ride problem with reconfigurable vehicle capacity","Transportation Research Part C: Emerging Technologies","","0968090X","10.1016/j.trc.2018.03.020","https://linkinghub.elsevier.com/retrieve/pii/S0968090X18303851","This paper introduces a ﬂeet size and mix dial-a-ride problem with multiple passenger types and a heterogeneous ﬂeet of reconﬁgurable vehicles. In this new variant of the dial-a-ride problem, en-route modiﬁcations of the vehicle’s inner conﬁguration are allowed. The main consequence is that the vehicle capacity is deﬁned by a set of conﬁgurations and the choice of vehicle conﬁguration is associated with binary decision variables.","2018-06","2025-08-16 13:48:22","2025-08-16 13:48:22","2025-08-16 13:48:22","99-123","","","91","","Transportation Research Part C: Emerging Technologies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/CRL5P6MX/Tellez et al. - 2018 - The fleet size and mix dial-a-ride problem with reconfigurable vehicle capacity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYY98II6","journalArticle","2021","Rist, Yannik; Forbes, Michael A.","A New Formulation for the Dial-a-Ride Problem","Transportation Science","","0041-1655, 1526-5447","10.1287/trsc.2021.1044","https://pubsonline.informs.org/doi/10.1287/trsc.2021.1044","This paper proposes a new mixed integer programming formulation and branch and cut (BC) algorithm to solve the dial-a-ride problem (DARP). The DARP is a route-planning problem where several vehicles must serve a set of customers, each of which has a pickup and delivery location, and includes time window and ride time constraints. We develop “restricted fragments,” which are select segments of routes that can represent any DARP route. We show how to enumerate these restricted fragments and prove results on domination between them. The formulation we propose is solved with a BC algorithm, which includes new valid inequalities specific to our restricted fragment formulation. The algorithm is benchmarked on existing and new instances, solving nine existing instances to optimality for the first time. In comparison with current state-of-the-art methods, run times are reduced between one and two orders of magnitude on large instances.","2021-09","2025-08-16 13:48:57","2025-08-16 13:48:57","2025-08-16 13:48:57","1113-1135","","5","55","","Transportation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/XMZZUACD/Rist und Forbes - 2021 - A New Formulation for the Dial-a-Ride Problem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FD62DCMA","journalArticle","2019","Gschwind, Timo; Drexl, Michael","Adaptive Large Neighborhood Search with a Constant-Time Feasibility Test for the Dial-a-Ride Problem","Transportation Science","","0041-1655, 1526-5447","10.1287/trsc.2018.0837","https://pubsonline.informs.org/doi/10.1287/trsc.2018.0837","In the dial-a-ride problem, user-specified transport requests from origin to destination points have to be served by a fleet of homogeneous vehicles. The problem variant we consider aims at finding a set of minimum-cost routes satisfying constraints on vehicle capacity, time windows, maximum route duration, and maximum user ride times. We propose an adaptive large neighborhood search (ALNS) for its solution. The key novelty of the approach is an exact amortized constant-time algorithm for evaluating the feasibility of request insertions in the repair steps of the ALNS. In addition, we use two optional improvement techniques: a local-search-based intraroute improvement of routes of promising solutions using the Balas–Simonetti neighborhood and the solution of a set covering model over a subset of all routes generated during the search. With these techniques, the proposed algorithm outperforms the state-of-the-art methods in terms of solution quality. New best solutions are found for several benchmark instances.             The online appendix is available at https://doi.org/10.1287/trsc.2018.0837 .","2019-03","2025-08-16 13:51:04","2025-08-16 13:51:04","2025-08-16 13:51:04","480-491","","2","53","","Transportation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/Q2HS3VIE/Gschwind und Drexl - 2019 - Adaptive Large Neighborhood Search with a Constant-Time Feasibility Test for the Dial-a-Ride Problem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
