"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MV6YDMW5","journalArticle","1995","Madsen, Oli B. G.; Ravn, Hans F.; Rygaard, Jens Moberg","A heuristic algorithm for a dial-a-ride problem with time windows, multiple capacities, and multiple objectives","Annals of Operations Research","","1572-9338","10.1007/BF02031946","https://doi.org/10.1007/BF02031946","The paper describes a system for the solution of a static dial-a-ride routing and scheduling problem with time windows (DARPTW). The problem statement and initialization of the development project was made by the Copenhagen Fire-Fighting Service (CFFS). The CFFS needed a new system for scheduling elderly and disabled persons, involving about 50.000 requests per year. The problem is characterized by, among other things, multiple capacities and multiple objectives. The capacities refer to the fact that a vehicle may be equipped with e.g. normal seats, children seats or wheel chair places. The objectives relate to a number of concerns such as e.g. short driving time, high vehicle utilization or low costs. A solution algorithm REBUS based on an insertion heuristics was developed. The algorithm permits in a flexible way weighting of the various goals such that the solution reflects the user's preferences. The algorithm is implemented in a dynamic environment intended for on-line scheduling. Thus, a new request for service is treated in less than 1 second, permitting an interactive user interface.","1995-12-01","2025-08-19 11:08:19","2025-08-19 11:08:19","2025-08-19 11:08:18","193-208","","1","60","","Ann Oper Res","","","","","","","","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/LVXKS3DP/Madsen et al. - 1995 - A heuristic algorithm for a dial-a-ride problem with time windows, multiple capacities, and multiple.pdf","","","Dial-a-ride; dynamic routing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRTKMAP5","journalArticle","1986","Jaw, Jang-Jei; Odoni, Amedeo R.; Psaraftis, Harilaos N.; Wilson, Nigel H.M.","A heuristic algorithm for the multi-vehicle advance request dial-a-ride problem with time windows","Transportation Research Part B: Methodological","","01912615","10.1016/0191-2615(86)90020-2","https://linkinghub.elsevier.com/retrieve/pii/0191261586900202","A heuristic algorithm is described for a time-constrained version of the advance-request, multi-vehicle, many-to-many Dial-A-Ride Problem (DARP). The time constraints consist of upper bounds on: (I) the amount of time by which the pick-up or delivery of a customer can deviate from the desired pick-up or delivery time; (2) the time that a customer can spend tiding in a vehicle. The algorithm uses a sequential insertion procedure to assign customers to vehicles and to determine a time schedule of pick-ups and deliveries for each vehicle. A flexible objective function balances the cost of providing service with the customers’ preferences for pick-up and delivery times close to those requested. and for short ride times. Computational experience with the algorithm is described, including a run with a real database of 2600 customers and some 20 simultaneously active vehicles. The scenario for the application of the algorithm is also discussed in detail.","1986-06","2025-08-19 11:22:23","2025-08-19 11:22:23","2025-08-19 11:22:23","243-257","","3","20","","Transportation Research Part B: Methodological","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/G5R5FIHJ/Jaw et al. - 1986 - A heuristic algorithm for the multi-vehicle advance request dial-a-ride problem with time windows.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VWHCMGF","journalArticle","1983","Psaraftis, Harilaos N.","An Exact Algorithm for the Single Vehicle Many-to-Many Dial-A-Ride Problem with Time Windows","Transportation Science","","0041-1655, 1526-5447","10.1287/trsc.17.3.351","https://pubsonline.informs.org/doi/10.1287/trsc.17.3.351","This paper modifies the exact Dynamic Programming algorithm developed by the author for the single vehicle many-to-many immediate request Dial-A-Ride problem to solve the problem where each customer has specified upper and lower bounds for his pickup and delivery times and where the objective is to minimize the time needed to service all customers. The major difference between the two algorithms is the substitution of backward recursion with forward recursion. The new algorithm requires the same computational effort as the old one (0(N               2               3               N               ) for N customers) and is able to recognize infeasible problem instances.","1983-08","2025-08-19 11:25:00","2025-08-19 11:25:00","2025-08-19 11:25:00","351-357","","3","17","","Transportation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/MSTS28IG/Psaraftis - 1983 - An Exact Algorithm for the Single Vehicle Many-to-Many Dial-A-Ride Problem with Time Windows.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76Y4QXZV","journalArticle","2004","Diana, Marco; Dessouky, Maged M.","A new regret insertion heuristic for solving large-scale dial-a-ride problems with time windows","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2003.07.001","https://linkinghub.elsevier.com/retrieve/pii/S0191261503000912","In this paper we present a parallel regret insertion heuristic to solve a dial-a-ride problem with time windows. A new route initialization procedure is implemented, that keeps into account both the spatial and the temporal aspects of the problem, and a regret insertion is then performed to serve the remaining requests. The considered operating scenario is representative of a large-scale dial-a-ride program in Los Angeles County. The proposed algorithm was tested on data sets of 500 and 1000 requests built from data of paratransit service in this area. The computational results show the eﬀectiveness of this approach in terms of trading-oﬀ solution quality and computational times. The latter measure being especially important in large-scale systems where numerous daily requests need to be processed.","2004-07","2025-08-19 11:26:16","2025-08-19 11:26:16","2025-08-19 11:26:16","539-557","","6","38","","Transportation Research Part B: Methodological","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/UXHEG534/Diana und Dessouky - 2004 - A new regret insertion heuristic for solving large-scale dial-a-ride problems with time windows.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SN7JWBQP","journalArticle","1986","Desrosiers, Jacques; Dumas, Yvan; Soumis, François","A Dynamic Programming Solution of the Large-Scale Single-Vehicle Dial-A-Ride Problem with Time Windows","American Journal of Mathematical and Management Sciences","","0196-6324, 2325-8454","10.1080/01966324.1986.10737198","http://www.tandfonline.com/doi/abs/10.1080/01966324.1986.10737198","","1986-02","2025-08-19 11:26:55","2025-08-19 11:26:55","2025-08-19 11:26:55","301-325","","3-4","6","","American Journal of Mathematical and Management Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABLJI9KV","journalArticle","2015","Gschwind, Timo; Irnich, Stefan","Effective Handling of Dynamic Time Windows and Its Application to Solving the Dial-a-Ride Problem","Transportation Science","","0041-1655, 1526-5447","10.1287/trsc.2014.0531","https://pubsonline.informs.org/doi/10.1287/trsc.2014.0531","A dynamic time window relates to two operations that must be executed within a given time meaning that the difference between the points in time when the two operations are performed is bounded from above. The most prevalent context of dynamic time windows is when precedence is given for the two operations so that it is a priori specified that one operation must take place before the other. A prominent vehicle routing problem with dynamic time windows and precedence is the dial-a-ride problem (DARP), where user-specified transportation requests from origin to destination points must be serviced. The paper presents a new branch-and-cut-and-price solution approach for the DARP, the prototypical vehicle-routing problem with ordinary and dynamic time windows. For the first time (to our knowledge), both ordinary and dynamic time windows are handled in the column-generation subproblem. For the solution, an effective column-generation pricing procedure is derived that allows fast shortest-path computations due to new dominance rules. The new approach is compared with alternative column-generation algorithms that handle dynamic time windows either as constraints of the master program or with less effective labeling procedures. Computational experiments indicate the superiority of the new approach.","2015-05","2025-08-19 11:28:34","2025-08-19 11:28:34","2025-08-19 11:28:34","335-354","","2","49","","Transportation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/AKB42GV5/Gschwind und Irnich - 2015 - Effective Handling of Dynamic Time Windows and Its Application to Solving the Dial-a-Ride Problem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVQP2LHC","journalArticle","2015","Gschwind, Timo; Irnich, Stefan","Effective Handling of Dynamic Time Windows and Its Application to Solving the Dial-a-Ride Problem","Transportation Science","","0041-1655, 1526-5447","10.1287/trsc.2014.0531","https://pubsonline.informs.org/doi/10.1287/trsc.2014.0531","A dynamic time window relates to two operations that must be executed within a given time meaning that the difference between the points in time when the two operations are performed is bounded from above. The most prevalent context of dynamic time windows is when precedence is given for the two operations so that it is a priori specified that one operation must take place before the other. A prominent vehicle routing problem with dynamic time windows and precedence is the dial-a-ride problem (DARP), where user-specified transportation requests from origin to destination points must be serviced. The paper presents a new branch-and-cut-and-price solution approach for the DARP, the prototypical vehicle-routing problem with ordinary and dynamic time windows. For the first time (to our knowledge), both ordinary and dynamic time windows are handled in the column-generation subproblem. For the solution, an effective column-generation pricing procedure is derived that allows fast shortest-path computations due to new dominance rules. The new approach is compared with alternative column-generation algorithms that handle dynamic time windows either as constraints of the master program or with less effective labeling procedures. Computational experiments indicate the superiority of the new approach.","2015-05","2025-08-19 11:28:34","2025-08-19 11:28:34","2025-08-19 11:28:34","335-354","","2","49","","Transportation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/HJRAU932/Gschwind und Irnich - 2015 - Effective Handling of Dynamic Time Windows and Its Application to Solving the Dial-a-Ride Problem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TX64VEPC","journalArticle","2011","Häme, Lauri","An adaptive insertion algorithm for the single-vehicle dial-a-ride problem with narrow time windows","European Journal of Operational Research","","03772217","10.1016/j.ejor.2010.08.021","https://linkinghub.elsevier.com/retrieve/pii/S0377221710005588","The dial-a-ride problem (DARP) is a widely studied theoretical challenge related to dispatching vehicles in demand-responsive transport services, in which customers contact a vehicle operator requesting to be carried from speciﬁed origins to speciﬁed destinations. An important subproblem arising in dynamic diala-ride services can be identiﬁed as the single-vehicle DARP, in which the goal is to determine the optimal route for a single vehicle with respect to a generalized objective function. The main result of this work is an adaptive insertion algorithm capable of producing optimal solutions for a time constrained version of this problem, which was ﬁrst studied by Psaraftis in the early 1980s. The complexity of the algorithm is analyzed and evaluated by means of computational experiments, implying that a signiﬁcant advantage of the proposed method can be identiﬁed as the possibility of controlling computational work smoothly, making the algorithm applicable to any problem size.","2011-02","2025-08-19 11:29:01","2025-08-19 11:29:01","2025-08-19 11:29:01","11-22","","1","209","","European Journal of Operational Research","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/Users/alexanderklaus/Zotero/storage/BV7TSR2H/Häme - 2011 - An adaptive insertion algorithm for the single-vehicle dial-a-ride problem with narrow time windows.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3QCVV6M","journalArticle","2015","Urra, Enrique; Cubillos, Claudio; Cabrera-Paniagua, Daniel","A Hyperheuristic for the Dial-a-Ride Problem with Time Windows","Mathematical Problems in Engineering","","1563-5147","10.1155/2015/707056","https://onlinelibrary.wiley.com/doi/abs/10.1155/2015/707056","The dial-a-ride problem with time windows (DARPTW) is a combinatorial optimization problem related to transportation, in which a set of customers must be picked up from an origin location and they have to be delivered to a destination location. A transportation schedule must be constructed for a set of available vehicles, and several constraints have to be considered, particularly time windows, which define an upper and lower time bound for each customer request in which a vehicle must arrive to perform the service. Because of the complexity of DARPTW, a number of algorithms have been proposed for solving the problem, mainly based on metaheuristics such as Genetic Algorithms and Simulated Annealing. In this work, a different approach for solving DARPTW is proposed, designed, and evaluated: hyperheuristics, which are alternative heuristic methods that operate at a higher abstraction level than metaheuristics, because rather than searching in the problem space directly, they search in a space of low-level heuristics to find the best strategy through which good solutions can be found. Although the proposed hyperheuristic uses simple and easy-to-implement operators, the experimental results demonstrate efficient and competitive performance on DARPTW when compared to other metaheuristics from the literature.","2015","2025-08-19 11:29:28","2025-08-19 11:29:28","2025-08-19 11:29:28","707056","","1","2015","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1155/2015/707056","","/Users/alexanderklaus/Zotero/storage/HJKJ56EH/Urra et al. - 2015 - A Hyperheuristic for the Dial-a-Ride Problem with Time Windows.pdf; /Users/alexanderklaus/Zotero/storage/ARD2VS6E/707056.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RMTEUTF","conferencePaper","2005","Yi, Fanglei; Tian, Lei","On the Online Dial-A-Ride Problem with Time-Windows","Algorithmic Applications in Management","978-3-540-32440-9","","10.1007/11496199_11","","In this paper the first results on the Online Dial-A-Ride Problem with Time-Windows (ODARPTW for short) are presented. Requests for rides appearing over time consist of two points in a metric space, a source and a destination. Servers transport objects of requests from sources to destinations. Each request specifies a deadline. If a request is not be served by its deadline, it will be called off. The goal is to plan the motion of servers in an online way so that the maximum number of requests is met by their deadlines. We perform competitive analysis of two deterministic strategies for the problem with a single server in two cases separately, where the server has unit capacity and where the server has infinite capacity. The competitive ratios of the strategies are obtained. We also prove a lower bound on the competitive ratio of any deterministic algorithm of $\frac{2-T}{2T}$for a server with unit capacity and of $\frac{2-T}{2T} \lceil \frac{1}{T} \rceil$for a server with infinite capacity, where T denotes the diameter of the metric space.","2005","2025-08-19 11:29:40","2025-08-19 11:29:40","","85-94","","","","","","","","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","","","/Users/alexanderklaus/Zotero/storage/QP6YDIW6/Yi und Tian - 2005 - On the Online Dial-A-Ride Problem with Time-Windows.pdf","","","Competitive Algorithm; Competitive Ratio; Deterministic Algorithm; Online Algorithm; Online Server","Megiddo, Nimrod; Xu, Yinfeng; Zhu, Binhai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
